travel_time,id,kind,action,origin,destination,start_time,income,reward,cost_table
23.216666666666665,47,AV,1,0,0,53,803.0093289227823,-23.216666666666665,"0,0,0"
13.133333333333333,151,AV,2,0,0,32,431.5545596554155,-13.133333333333333,"0,0,0"
20.75,114,AV,0,0,0,51,3945.348275410578,-20.75,"0,0,0"
29.2,210,AV,0,0,0,65,146.50232543619936,-29.2,"0,0,0"
31.2,126,AV,1,0,0,74,1770.5778625761595,-31.2,"0,0,0"
12.05,160,AV,2,0,0,33,122.3951650093391,-12.05,"0,0,0"
31.3,193,AV,1,0,0,74,604.6936383004129,-31.3,"0,0,0"
10.083333333333334,249,AV,0,0,0,30,397.9556521399297,-10.083333333333334,"0,0,0"
22.0,291,AV,0,0,0,52,316.7820495087218,-22.0,"0,0,0"
25.233333333333334,279,AV,2,0,0,54,1034.2754485085857,-25.233333333333334,"0,0,0"
22.55,181,AV,1,0,0,53,304.45215475794447,-22.55,"0,0,0"
26.116666666666667,225,AV,2,0,0,53,2108.112350525404,-26.116666666666667,"0,0,0"
9.083333333333334,293,AV,2,0,0,7,1308.8239993104885,-9.083333333333334,"0,0,0"
10.25,174,AV,2,0,0,28,63.21977046916082,-10.25,"0,0,0"
9.933333333333334,187,AV,0,0,0,29,216.68994521979357,-9.933333333333334,"0,0,0"
11.1,243,AV,2,0,0,25,787.1715220388722,-11.1,"0,0,0"
12.7,141,AV,2,0,0,33,448.5456012777513,-12.7,"0,0,0"
34.733333333333334,162,AV,2,0,0,85,530.5096238130133,-34.733333333333334,"0,0,0"
8.583333333333334,131,AV,0,0,0,27,463.5609856948989,-8.583333333333334,"0,0,0"
10.833333333333334,120,AV,0,0,0,32,968.3977162602168,-10.833333333333334,"0,0,0"
24.383333333333333,62,AV,2,0,0,52,544.0547443550604,-24.383333333333333,"0,0,0"
17.916666666666668,100,AV,1,0,0,43,833.028471638836,-17.916666666666668,"0,0,0"
16.616666666666667,172,AV,2,0,0,42,2533.176014567522,-16.616666666666667,"0,0,0"
27.216666666666665,63,AV,1,0,0,59,363.9754018210222,-27.216666666666665,"0,0,0"
7.166666666666667,298,AV,1,0,0,20,461.2287786839295,-7.166666666666667,"0,0,0"
12.183333333333334,97,AV,1,0,0,33,2225.755620366848,-12.183333333333334,"0,0,0"
28.1,103,AV,1,0,0,62,494.8414322817401,-28.1,"0,0,0"
20.216666666666665,117,AV,1,0,0,50,1984.2288670579555,-20.216666666666665,"0,0,0"
23.983333333333334,271,AV,0,0,0,55,42.445954508197325,-23.983333333333334,"0,0,0"
20.316666666666666,154,AV,1,0,0,49,3839.265238466288,-20.316666666666666,"0,0,0"
16.2,297,AV,0,0,0,43,294.53721614559083,-16.2,"0,0,0"
14.066666666666666,158,AV,1,0,0,41,768.8548914264984,-14.066666666666666,"0,0,0"
8.85,52,AV,2,0,0,25,218.4509775743674,-8.85,"0,0,0"
11.05,106,AV,1,0,0,34,745.476369685405,-11.05,"0,0,0"
16.7,170,AV,2,0,0,39,30.054552993917728,-16.7,"0,0,0"
13.75,128,AV,1,0,0,39,572.4202749773186,-13.75,"0,0,0"
8.116666666666667,211,AV,1,0,0,27,130.78465666521578,-8.116666666666667,"0,0,0"
8.65,95,AV,0,0,0,25,566.5243744371911,-8.65,"0,0,0"
19.316666666666666,178,AV,0,0,0,48,492.873449571689,-19.316666666666666,"0,0,0"
17.116666666666667,7,AV,1,0,0,44,920.8647338694982,-17.116666666666667,"0,0,0"
19.383333333333333,69,AV,0,0,0,46,840.8410612726723,-19.383333333333333,"0,0,0"
14.033333333333333,163,AV,2,0,0,36,57.28193915625323,-14.033333333333333,"0,0,0"
16.4,24,AV,2,0,0,42,1328.242730468568,-16.4,"0,0,0"
25.45,29,AV,1,0,0,57,984.5536619423616,-25.45,"0,0,0"
25.466666666666665,179,AV,2,0,0,54,125.63623276935256,-25.466666666666665,"0,0,0"
19.433333333333334,214,AV,2,0,0,44,202.1671703328395,-19.433333333333334,"0,0,0"
27.366666666666667,283,AV,2,0,0,57,466.6387223384215,-27.366666666666667,"0,0,0"
29.433333333333334,35,AV,0,0,0,68,2508.862052408416,-29.433333333333334,"0,0,0"
20.416666666666668,198,AV,1,0,0,49,783.8794127097556,-20.416666666666668,"0,0,0"
26.0,264,AV,1,0,0,57,5784.369429856904,-26.0,"0,0,0"
25.766666666666666,232,AV,2,0,0,55,77.3205034620968,-25.766666666666666,"0,0,0"
16.75,146,AV,2,0,0,39,414.8251582270943,-16.75,"0,0,0"
25.016666666666666,28,AV,1,0,0,56,128.9705579675829,-25.016666666666666,"0,0,0"
20.516666666666666,269,AV,1,0,0,50,642.8051709354133,-20.516666666666666,"0,0,0"
