travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward,observation,cost_table
35.93333333333333,146,AV,1,3,9,0,0,0,0,83,1653.1781197118603,0.1,-0.21777777777777776,"0.2458409090909091,0.2797903225806451,0.35416287878787883,0.1,0.83,0.08168187152419273,9.0","0,0,0"
24.033333333333335,7,AV,1,3,7,3,0,0,0,43,827.3783452591958,0.2,-0.29131313131313136,"0.18058823529411763,0.2468374316939891,0.31231045751633985,0.2,0.43,0.040879933561629736,7.0","0,0,0"
44.8,111,AV,2,0,3,0,5,0,0,97,4925.450001742355,0.6,-1.629090909090909,"0.19652564102564102,0.24081466666666665,0.32840170940170943,0.6,0.97,0.24336154068581314,5.0","0,0,0"
37.983333333333334,198,AV,1,3,9,0,0,0,0,89,2964.6777926145683,0.5,-1.151010101010101,"0.26184210526315793,0.2907231404958678,0.3528875000000001,0.5,0.89,0.14648175394988758,9.0","0,0,0"
16.583333333333332,288,AV,1,2,4,3,2,0,0,17,2218.0502812558643,0.1,-0.1005050505050505,"0.18932716049382717,0.28852981029810304,0.35542916666666663,0.1,0.17,0.10959163803796217,6.0","0,0,0"
27.95,61,AV,2,1,0,0,5,0,0,14,3580.4564780460023,0.1,-0.1693939393939394,"0.17968965517241375,0.27333053221288517,0.3415000000000001,0.1,0.14,0.17690676071171996,5.0","0,0,0"
22.816666666666666,108,AV,1,2,4,3,4,0,0,38,3368.9508766880413,0.4,-0.5531313131313131,"0.205125,0.2741351706036746,0.35417171717171725,0.4,0.38,0.16645648124650464,8.0","0,0,0"
37.95,47,AV,1,1,7,5,3,0,0,88,586.8516376274475,0.5,-1.1500000000000001,"0.19065833333333335,0.254144,0.3549148148148148,0.5,0.88,0.028995750365243225,10.0","0,0,0"
15.533333333333333,231,AV,1,2,5,0,0,0,0,16,2015.5588757501516,0.1,-0.09414141414141414,"0.21041304347826084,0.2448608923884515,0.3135495495495495,0.1,0.16,0.09958674094184428,5.0","0,0,0"
30.866666666666667,213,AV,1,1,7,4,2,0,0,59,2022.4315636845977,0.2,-0.37414141414141416,"0.2824824561403509,0.3020692307692308,0.3826075268817204,0.2,0.59,0.09992631355425287,9.0","0,0,0"
