travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward,observation,cost_table
71.55,291,AV,0,6,2,2,14,0,0,49,2294.767722006211,0.3,-1.3009090909090908,"0.6511527777777776,0.2452027027027027,0.3386505376344086,0.3,0.49,0.11338216978061968,20.0","0,0,0"
48.766666666666666,66,AV,0,7,1,5,0,0,0,42,8436.938288223368,1.0,-2.9555555555555557,"0.4337179487179488,0.19971544715447156,0.2954362745098039,1.0,0.42,0.4168606522788469,7.0","0,0,0"
38.18333333333333,262,AV,0,6,4,8,2,0,0,39,3724.6301341612702,0.4,-0.9256565656565656,"0.3513034825870647,0.1812105263157895,0.28569999999999995,0.4,0.39,0.1840302363466582,8.0","0,0,0"
40.31666666666667,39,AV,2,1,0,9,6,0,0,59,6130.868263041086,1.0,-2.4434343434343435,"0.8871761006289308,0.29950000000000004,0.3906666666666666,1.0,0.59,0.3029200470429381,15.0","0,0,0"
27.75,264,AV,2,1,3,2,5,0,0,40,2580.565825479665,0.1,-0.1681818181818182,"0.37615700483091785,0.18278787878787878,0.27869736842105264,0.1,0.4,0.12750316720456661,5.0","0,0,0"
29.85,62,AV,1,3,4,2,2,0,0,56,2011.9739719035176,0.2,-0.3618181818181818,"0.8277952380952379,0.2780444444444445,0.37937916666666666,0.2,0.56,0.09940961444111464,6.0","0,0,0"
110.05,281,AV,0,6,0,6,5,0,0,64,2553.8725848963804,0.1,-0.666969696969697,"1.0096747311827956,0.3213658536585367,0.4134414414414414,0.1,0.64,0.1261842809805775,11.0","0,0,0"
29.783333333333335,162,AV,1,3,7,1,2,0,0,54,3048.604611013583,0.1,-0.18050505050505053,"0.7722734374999999,0.2679912280701754,0.36886403508771926,0.1,0.54,0.15062849380578247,9.0","0,0,0"
31.8,19,AV,2,2,2,2,8,0,0,43,5144.150368411208,0.2,-0.3854545454545455,"0.4878287671232877,0.20734583333333328,0.3036049382716049,0.2,0.43,0.25416730628332335,8.0","0,0,0"
57.6,205,AV,0,7,3,6,0,0,0,44,4569.840806868062,1.0,-3.490909090909091,"0.5203076923076924,0.21021851851851855,0.31102222222222226,1.0,0.44,0.22579124730834796,7.0","0,0,0"
40.21666666666667,175,AV,2,2,1,3,9,0,0,60,1150.4391077840953,0.6,-1.4624242424242426,"0.934046153846154,0.304051282051282,0.4038703703703704,0.6,0.6,0.056842041567067104,9.0","0,0,0"
21.433333333333334,101,AV,1,3,4,0,2,0,0,42,5158.4050556257225,0.8,-1.0391919191919192,"0.4337179487179488,0.19971544715447156,0.2954362745098039,0.8,0.42,0.2548716160705086,6.0","0,0,0"
41.3,49,AV,2,0,3,5,5,0,0,61,3729.3449139509553,0.2,-0.5006060606060606,"0.9460130208333335,0.30572072072072076,0.40637606837606843,0.2,0.61,0.1842631888836256,10.0","0,0,0"
17.016666666666666,24,AV,1,0,4,6,6,0,0,39,14754.343640924068,1.0,-1.0313131313131312,"0.3513034825870647,0.1812105263157895,0.28569999999999995,1.0,0.39,0.7289973096860264,10.0","0,0,0"
129.33333333333334,45,AV,0,6,4,1,0,0,0,80,1927.298426803608,0.1,-0.783838383838384,"1.2055101010101013,0.3673253968253967,0.47544270833333335,0.1,0.8,0.09522588075045987,6.0","0,0,0"
124.28333333333333,108,AV,0,4,7,3,5,0,0,76,1639.6236094811811,0.2,-1.5064646464646465,"1.1919318181818181,0.35447807017543853,0.45048611111111114,0.2,0.76,0.08101215677897904,9.0","0,0,0"
33.35,289,AV,1,1,6,2,2,0,0,67,3523.1638559153366,0.1,-0.20212121212121215,"1.0734188596491228,0.33668965517241384,0.4321952380952381,0.1,0.67,0.1740759897594787,8.0","0,0,0"
20.533333333333335,278,AV,0,7,0,4,4,0,0,31,4660.29795945294,0.1,-0.12444444444444445,"0.176092039800995,0.14847435897435898,0.2555441176470588,0.1,0.31,0.23026064442157015,11.0","0,0,0"
15.583333333333334,96,AV,0,5,0,6,2,0,0,28,3414.9419898187493,0.4,-0.3777777777777778,"0.1268943661971831,0.13412790697674418,0.22941025641025642,0.4,0.28,0.16872885598290138,7.0","0,0,0"
30.166666666666668,297,AV,1,2,5,4,0,0,0,58,934.0011274976006,0.4,-0.7313131313131314,"0.861890909090909,0.2927340425531915,0.37949122807017543,0.4,0.58,0.04614805820984811,5.0","0,0,0"
48.75,271,AV,0,7,7,0,2,0,0,42,542.8991684878858,0.3,-0.8863636363636364,"0.4337179487179488,0.19971544715447156,0.2954362745098039,0.3,0.42,0.02682410298216846,9.0","0,0,0"
82.16666666666667,127,AV,0,8,6,0,1,0,0,52,863.3540159882258,0.5,-2.48989898989899,"0.7199924242424244,0.2554595959595959,0.34569105691056906,0.5,0.52,0.04265745534191888,9.0","0,0,0"
14.316666666666666,54,AV,1,1,8,4,0,0,0,21,17322.90883950548,0.3,-0.2603030303030303,"0.05999999999999999,0.12883888888888886,0.23393827160493832,0.3,0.21,0.8559075379611304,8.0","0,0,0"
117.31666666666666,91,AV,0,7,0,8,5,0,0,68,1342.087988935639,0.5,-3.555050505050505,"1.0959071428571427,0.3424960317460317,0.4417797619047619,0.5,0.68,0.06631122041798494,12.0","0,0,0"
32.88333333333333,158,AV,2,3,0,3,6,0,0,48,8795.495569618428,0.6,-1.1957575757575758,"0.6097934272300468,0.2338989898989899,0.33933333333333343,0.6,0.48,0.43457660765217343,6.0","0,0,0"
44.86666666666667,157,AV,2,3,2,1,5,0,0,67,2813.5576138103806,0.7,-1.9034343434343435,"1.0734188596491228,0.33668965517241384,0.4321952380952381,0.7,0.67,0.1390150576014335,5.0","0,0,0"
30.266666666666666,105,AV,1,2,4,6,2,0,0,62,2142.030696222753,0.1,-0.18343434343434345,"0.9833817204301074,0.31117803030303026,0.4093480392156863,0.1,0.62,0.10583558664582342,6.0","0,0,0"
29.083333333333332,152,AV,2,0,0,3,6,0,0,33,4549.070920567666,0.2,-0.3525252525252525,"0.21900213675213676,0.1512204301075269,0.24892473118279568,0.2,0.33,0.22476502807393375,6.0","0,0,0"
29.316666666666666,250,AV,2,2,3,4,1,0,0,43,2497.1975937909187,0.2,-0.35535353535353537,"0.4878287671232877,0.20734583333333328,0.3036049382716049,0.2,0.43,0.12338402655734695,5.0","0,0,0"
41.53333333333333,191,AV,2,3,3,8,6,0,0,61,601.3137559373858,0.5,-1.2585858585858585,"0.9460130208333335,0.30572072072072076,0.40637606837606843,0.5,0.61,0.029710309114645228,14.0","0,0,0"
35.21666666666667,27,AV,2,1,2,2,10,0,0,52,1538.317647081207,0.1,-0.21343434343434345,"0.7199924242424244,0.2554595959595959,0.34569105691056906,0.1,0.52,0.07600673086224138,10.0","0,0,0"
