,Q1 (lowest),Q2,Q3,Q4,Q5 (highest)
Q1 (lowest),0.0,0.6869736436341,0.6937889270908967,0.6466997143952962,0.60475109247211
Q2,0.6869736436341,0.0,0.6671622334989428,0.6474914126090079,0.6709978608486865
Q3,0.6937889270908967,0.6671622334989428,0.0,0.7035424712711156,0.6269707500931866
Q4,0.6466997143952962,0.6474914126090079,0.7035424712711156,0.0,0.6676857203304442
Q5 (highest),0.60475109247211,0.6709978608486865,0.6269707500931866,0.6676857203304442,0.0
