travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward,observation,cost_table
24.6,44,AV,2,0,0,18,881.2906222289953,,-24.6,"0,0,0,0","0,0,0"
25.0,137,AV,2,0,0,11,2294.767722006211,,-25.0,"0,0,0,0","0,0,0"
43.483333333333334,50,AV,2,0,0,90,946.2003450753726,,-43.483333333333334,"0,0,0,0","0,0,0"
21.55,63,AV,2,0,0,5,1104.4445206976068,,-21.55,"0,0,0,0","0,0,0"
22.9,84,AV,2,0,0,8,1405.7852601227096,,-22.9,"0,0,0,0","0,0,0"
35.6,132,AV,2,0,0,63,2198.5025098873134,,-35.6,"0,0,0,0","0,0,0"
42.333333333333336,196,AV,2,0,0,89,3534.445695738256,,-42.333333333333336,"0,0,0,0","0,0,0"
40.4,139,AV,2,0,0,80,2318.1098695731453,,-40.4,"0,0,0,0","0,0,0"
44.983333333333334,118,AV,2,0,0,86,1929.5758599688188,,-44.983333333333334,"0,0,0,0","0,0,0"
37.11666666666667,106,AV,2,0,0,63,1723.69240549938,,-37.11666666666667,"0,0,0,0","0,0,0"
32.8,104,AV,2,0,0,55,1659.6531244520008,,-32.8,"0,0,0,0","0,0,0"
27.816666666666666,263,AV,1,0,0,69,6031.594525491932,,-27.816666666666666,"0,0,0,0","0,0,0"
39.56666666666667,287,AV,2,0,0,74,10450.70686878338,,-39.56666666666667,"0,0,0,0","0,0,0"
29.833333333333332,103,AV,2,0,0,47,1639.6236094811811,,-29.833333333333332,"0,0,0,0","0,0,0"
44.516666666666666,220,AV,2,0,0,87,4266.216809230351,,-44.516666666666666,"0,0,0,0","0,0,0"
44.86666666666667,148,AV,2,0,0,90,2472.005569054355,,-44.86666666666667,"0,0,0,0","0,0,0"
37.46666666666667,252,AV,2,0,0,60,5480.041794665195,,-37.46666666666667,"0,0,0,0","0,0,0"
37.43333333333333,134,AV,2,0,0,68,2239.257430619588,,-37.43333333333333,"0,0,0,0","0,0,0"
28.55,221,AV,2,0,0,45,4281.8327360815,,-28.55,"0,0,0,0","0,0,0"
43.0,46,AV,2,0,0,81,904.859336063587,,-43.0,"0,0,0,0","0,0,0"
30.5,143,AV,2,0,0,38,2398.572127464108,,-30.5,"0,0,0,0","0,0,0"
48.15,151,AV,2,0,0,99,2520.718778515204,,-48.15,"0,0,0,0","0,0,0"
45.3,81,AV,2,0,0,93,1389.0632502942228,,-45.3,"0,0,0,0","0,0,0"
