travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward
42.8,150,AV,2,0,0,73,2458.2611968747465,0.2,-8.56
33.0,99,AV,1,0,0,60,1614.9493849180149,0.5,-16.5
22.933333333333334,117,AV,1,0,0,44,1880.1756700095973,0.4,-9.173333333333334
34.28333333333333,56,AV,1,0,0,62,1025.7249596144625,0.9,-30.855
24.333333333333332,188,AV,1,0,0,47,3097.4575811220984,0.1,-2.4333333333333336
15.483333333333333,177,AV,0,0,0,30,2946.490055333797,0.2,-3.341025203935999
29.8,208,AV,1,0,0,55,3456.1529418207683,0.1,-2.9800000000000004
27.583333333333332,221,AV,0,0,0,40,4061.843573313689,0.3,-8.452259411152708
14.316666666666666,191,AV,1,0,0,27,3151.1733449572957,0.1,-1.4316666666666666
26.7,53,AV,1,0,0,50,1014.5614647146556,0.3,-8.01
40.983333333333334,245,AV,1,0,0,78,4951.479839002994,0.3,-12.295
20.483333333333334,253,AV,1,0,0,40,5480.041794665195,0.2,-4.096666666666667
36.516666666666666,71,AV,2,0,0,50,1150.4391077840953,0.2,-7.303333333333334
17.1,247,AV,0,0,0,32,4968.170350229253,0.3,-5.274922566909723
20.533333333333335,273,AV,1,0,0,40,7897.119961473183,0.3,-6.16
25.983333333333334,85,AV,0,0,0,39,1434.4967426379471,0.2,-5.698584850653594
33.71666666666667,103,AV,1,0,0,60,1653.1781197118603,0.3,-10.115
19.466666666666665,284,AV,1,0,0,37,11049.706566164488,1.0,-19.466666666666665
28.633333333333333,168,AV,1,0,0,54,2780.081336731352,0.3,-8.59
12.766666666666667,34,AV,1,0,0,12,857.6590975250949,1.0,-12.766666666666667
30.433333333333334,261,AV,1,0,0,58,5899.132481879994,0.1,-3.0433333333333334
22.866666666666667,11,AV,1,0,0,46,626.2908344343901,0.2,-4.573333333333333
39.05,124,AV,1,0,0,70,1997.7276787447236,0.1,-3.905
48.516666666666666,229,AV,0,0,0,68,4547.885280126284,0.5,-24.41664867236493
17.383333333333333,166,AV,1,0,0,34,2761.3662775036096,0.4,-6.953333333333333
44.2,24,AV,2,0,0,66,779.2240782816187,0.1,-4.420000000000001
17.933333333333334,250,AV,1,0,0,36,5158.4050556257225,0.2,-3.586666666666667
33.15,282,AV,1,0,0,61,9030.678864893336,0.1,-3.315
40.166666666666664,112,AV,1,0,0,78,1804.2001824470888,0.2,-8.033333333333333
26.55,176,AV,1,0,0,48,2942.323800284961,0.3,-7.965
22.4,266,AV,0,0,0,38,6248.181898567973,0.2,-4.595233520996726
35.1,175,AV,1,0,0,61,2898.378436294527,0.4,-14.040000000000001
25.75,92,AV,2,0,0,36,1519.7273932229994,0.1,-2.575
22.266666666666666,120,AV,1,0,0,41,1929.5758599688188,0.9,-20.04
20.466666666666665,234,AV,1,0,0,38,4617.1597275219765,0.7,-14.326666666666664
19.233333333333334,190,AV,0,0,0,34,3132.463358685509,0.1,-2.1531843858615702
28.4,121,AV,1,0,0,51,1945.516475481125,0.3,-8.52
26.65,86,AV,1,0,0,50,1447.5744631551047,0.2,-5.33
6.95,264,AV,0,0,0,14,6007.794801579103,0.2,-1.5098443062354183
