score,score_std,score_min,score_max,num_seed_runs,trial,method,param_lr_actor,param_lr_critic,param_gamma,param_gae_lambda,param_ppo_clip,param_entropy_coef,param_value_coef,param_epochs,param_minibatch_size,param_max_grad_norm
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,1,grid,0.0003,0.0003,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,2,grid,0.0003,0.0003,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,3,grid,0.0003,0.0003,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,4,grid,0.0003,0.0008,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,5,grid,0.0003,0.0008,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,6,grid,0.0003,0.0008,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,7,grid,0.0003,0.001,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,8,grid,0.0003,0.001,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,9,grid,0.0003,0.001,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,10,grid,0.0008,0.0003,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,11,grid,0.0008,0.0003,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,12,grid,0.0008,0.0003,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,13,grid,0.0008,0.0008,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,14,grid,0.0008,0.0008,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,15,grid,0.0008,0.0008,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,16,grid,0.0008,0.001,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,17,grid,0.0008,0.001,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,18,grid,0.0008,0.001,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,19,grid,0.001,0.0003,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,20,grid,0.001,0.0003,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,21,grid,0.001,0.0003,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,22,grid,0.001,0.0008,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,23,grid,0.001,0.0008,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,24,grid,0.001,0.0008,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,25,grid,0.001,0.001,0.99,0.9,0.2,0.0,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,26,grid,0.001,0.001,0.99,0.9,0.2,0.001,0.5,4,4096,0.5
-1.4668333333333334,0.07964522026531852,-1.553,-1.3860000000000001,4,27,grid,0.001,0.001,0.99,0.9,0.2,0.01,0.5,4,4096,0.5
