travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
19.45,122,AV,2,1,2,3,9,0,0,45,3942.222625638348,0.3,-0.4945
112.05,247,AV,0,7,2,3,9,0,0,78,2612.3907844155665,0.1,-1.2205000000000001
11.716666666666667,58,AV,2,1,2,3,6,0,0,20,19040.472291926453,0.1,-0.21716666666666667
27.25,260,AV,2,1,2,3,12,0,0,56,679.8949342204361,0.1,-0.37250000000000005
71.56666666666666,160,AV,0,7,2,3,4,0,0,56,10213.823531357188,0.3,-1.0156666666666667
27.916666666666668,264,AV,2,1,2,3,11,0,0,58,4639.089550420253,0.9,-1.1791666666666667
21.583333333333332,186,AV,2,1,2,3,6,0,0,46,10838.007207066395,0.2,-0.41583333333333333
31.2,142,AV,0,7,2,3,2,0,0,41,4934.883137056144,0.1,-0.41200000000000003
24.183333333333334,141,AV,0,7,2,3,2,0,0,37,3119.7161673652217,1.0,-1.2418333333333333
20.35,298,AV,2,1,2,3,7,0,0,46,2761.3662775036096,0.2,-0.4035
24.583333333333332,98,AV,2,1,2,3,8,0,0,49,2675.3892374750885,0.1,-0.3458333333333333
20.983333333333334,147,AV,2,1,2,3,7,0,0,44,2030.86588445069,0.2,-0.4098333333333334
34.13333333333333,125,AV,2,1,2,3,12,0,0,68,863.3540159882258,0.2,-0.5413333333333333
20.8,99,AV,2,1,2,3,6,0,0,46,777.0630287344238,0.1,-0.30800000000000005
31.533333333333335,132,AV,2,1,2,3,11,0,0,63,5721.231751015957,0.2,-0.5153333333333334
36.833333333333336,271,AV,0,7,2,3,3,0,0,42,3169.820795106812,0.1,-0.4683333333333334
23.15,103,AV,2,1,2,3,8,0,0,48,1386.7650627050614,0.5,-0.7315
15.833333333333334,20,AV,2,1,2,3,7,0,0,35,3480.90175047103,0.2,-0.35833333333333334
16.516666666666666,32,AV,2,1,2,3,6,0,0,37,2458.2611968747465,0.6,-0.7651666666666667
20.5,4,AV,2,1,2,3,6,0,0,45,7612.519032757181,0.2,-0.405
33.6,151,AV,2,1,2,3,13,0,0,68,2015.5588757501516,0.2,-0.536
17.016666666666666,144,AV,2,1,2,3,5,0,0,40,4015.909421979459,0.1,-0.27016666666666667
43.416666666666664,234,AV,0,7,2,3,2,0,0,45,7177.938863287724,0.3,-0.7341666666666666
19.516666666666666,14,AV,2,1,2,3,8,0,0,43,2398.572127464108,0.1,-0.2951666666666667
71.6,22,AV,0,7,2,3,7,0,0,56,1373.5659577718477,0.7,-1.416
83.95,57,AV,0,7,2,3,6,0,0,60,3398.605365942332,0.8,-1.6395
25.383333333333333,124,AV,2,1,2,3,9,0,0,53,2044.1603053436156,0.1,-0.35383333333333333
28.533333333333335,162,AV,2,1,2,3,12,0,0,59,4227.85786318916,0.1,-0.3853333333333333
34.416666666666664,42,AV,2,1,2,3,11,0,0,68,3773.073658575576,0.6,-0.9441666666666666
34.81666666666667,50,AV,2,1,2,3,14,0,0,73,4572.8741748457805,0.4,-0.7481666666666666
11.133333333333333,91,AV,2,1,2,3,4,0,0,20,2744.255474143275,1.0,-1.1113333333333333
89.33333333333333,137,AV,0,7,2,3,9,0,0,63,4196.147454418583,0.1,-0.9933333333333333
33.516666666666666,217,AV,2,1,2,3,13,0,0,66,1446.9812594843625,0.6,-0.9351666666666667
21.466666666666665,279,AV,2,1,2,3,7,0,0,46,477.1303205766694,0.4,-0.6146666666666667
24.716666666666665,277,AV,2,1,2,3,10,0,0,50,3608.770587345788,0.6,-0.8471666666666666
24.333333333333332,207,AV,2,1,2,3,10,0,0,52,4609.601315671212,0.3,-0.5433333333333333
28.6,120,AV,2,1,2,3,8,0,0,59,2965.4163440895786,0.1,-0.386
29.016666666666666,200,AV,2,1,2,3,8,0,0,59,9280.176126726552,0.4,-0.6901666666666667
34.583333333333336,203,AV,2,1,2,3,11,0,0,66,4376.119511966378,0.6,-0.9458333333333333
60.9,291,AV,0,7,2,3,7,0,0,54,5911.733280178027,0.1,-0.709
92.41666666666667,77,AV,0,7,2,3,8,0,0,64,857.6590975250949,0.1,-1.0241666666666667
16.05,44,AV,2,1,2,3,7,0,0,38,742.4887258523852,0.5,-0.6605
30.25,71,AV,2,1,2,3,12,0,0,60,2780.081336731352,0.3,-0.6025
101.11666666666666,267,AV,0,7,2,3,8,0,0,70,2744.8905386527767,0.6,-1.6111666666666666
25.233333333333334,129,AV,2,1,2,3,9,0,0,55,1046.6558973464134,0.6,-0.8523333333333334
78.73333333333333,135,AV,0,7,2,3,7,0,0,59,2456.6540037696086,0.6,-1.3873333333333333
19.316666666666666,128,AV,2,1,2,3,7,0,0,43,8326.33528790118,0.5,-0.6931666666666667
13.05,228,AV,2,1,2,3,5,0,0,24,2927.9701715656583,0.6,-0.7304999999999999
28.133333333333333,78,AV,2,1,2,3,9,0,0,57,802.5586880039084,0.6,-0.8813333333333333
106.61666666666666,116,AV,0,7,2,3,10,0,0,72,2052.607856914241,0.1,-1.1661666666666668
30.733333333333334,249,AV,2,1,2,3,10,0,0,61,4504.939201911708,0.3,-0.6073333333333333
15.133333333333333,45,AV,2,1,2,3,6,0,0,36,3667.3634505223554,0.2,-0.35133333333333333
36.43333333333333,112,AV,2,1,2,3,12,0,0,85,3427.0421228311798,0.1,-0.46433333333333326
23.466666666666665,47,AV,2,1,2,3,9,0,0,52,2239.257430619588,0.4,-0.6346666666666667
64.5,208,AV,0,7,2,3,5,0,0,55,2756.9260540590044,0.3,-0.9450000000000001
34.85,262,AV,2,1,2,3,12,0,0,75,2964.6777926145683,0.4,-0.7485
13.666666666666666,190,AV,2,1,2,3,6,0,0,32,506.5869000089976,0.3,-0.43666666666666665
73.33333333333333,101,AV,0,7,2,3,7,0,0,56,1530.6528609905624,0.2,-0.9333333333333333
35.916666666666664,89,AV,2,1,2,3,13,0,0,75,1564.487892525026,0.4,-0.7591666666666667
73.31666666666666,179,AV,0,7,2,3,6,0,0,56,979.573716991658,0.1,-0.8331666666666666
43.43333333333333,243,AV,0,7,2,3,3,0,0,46,4459.768546990965,0.7,-1.1343333333333332
29.466666666666665,240,AV,2,1,2,3,11,0,0,59,2417.357356239525,0.3,-0.5946666666666667
26.866666666666667,268,AV,2,1,2,3,9,0,0,55,670.158540600369,0.2,-0.4686666666666667
11.233333333333333,297,AV,2,1,2,3,5,0,0,23,1249.5878531833848,0.3,-0.41233333333333333
26.85,59,AV,2,1,2,3,8,0,0,55,6020.57275324985,0.1,-0.36850000000000005
50.38333333333333,145,AV,0,7,2,3,4,0,0,48,2645.062412614309,0.2,-0.7038333333333333
75.05,215,AV,0,7,2,3,4,0,0,56,13460.811009378149,0.4,-1.1505
22.416666666666668,118,AV,0,7,2,3,4,0,0,36,863.5619359671642,0.7,-0.9241666666666666
24.183333333333334,193,AV,2,1,2,3,9,0,0,50,3257.969850357721,0.6,-0.8418333333333333
13.9,28,AV,0,7,2,3,2,0,0,25,3323.1633986738134,0.7,-0.839
16.666666666666668,159,AV,2,1,2,3,4,0,0,36,497.26542980048754,0.1,-0.2666666666666667
60.983333333333334,293,AV,0,7,2,3,7,0,0,54,1507.5005543882637,0.8,-1.4098333333333333
17.25,105,AV,0,7,2,3,2,0,0,28,969.457736312404,0.8,-0.9725
5.066666666666666,24,AV,0,7,2,3,2,0,0,17,837.3801312568858,0.2,-0.2506666666666667
29.466666666666665,187,AV,0,7,2,3,3,0,0,40,388.2787303527966,0.4,-0.6946666666666667
36.583333333333336,26,AV,0,7,2,3,2,0,0,42,3024.224513765153,0.2,-0.5658333333333334
15.066666666666666,154,AV,2,1,2,3,7,0,0,37,2421.832203454489,0.1,-0.2506666666666667
113.81666666666666,197,AV,0,7,2,3,8,0,0,79,1659.6531244520008,0.6,-1.7381666666666664
27.15,199,AV,2,1,2,3,12,0,0,57,2533.2754137277425,0.2,-0.4715
31.916666666666668,172,AV,2,1,2,3,13,0,0,63,597.1498506777683,0.4,-0.7191666666666667
14.033333333333333,284,AV,2,1,2,3,4,0,0,32,5009.92015912814,1.0,-1.1403333333333334
66.23333333333333,239,AV,0,7,2,3,5,0,0,55,2108.868816674547,0.1,-0.7623333333333333
10.316666666666666,166,AV,0,7,2,3,0,0,0,24,1541.4014724042315,0.2,-0.3031666666666667
62.43333333333333,97,AV,0,7,2,3,6,0,0,54,2239.194506681481,0.1,-0.7243333333333333
18.1,290,AV,2,1,2,3,8,0,0,41,7864.29237148983,0.2,-0.381
85.46666666666667,275,AV,0,7,2,3,8,0,0,60,2472.005569054355,0.2,-1.0546666666666666
34.65,2,AV,2,1,2,3,13,0,0,70,4662.282088415262,0.4,-0.7464999999999999
15.0,25,AV,2,1,2,3,5,0,0,36,4968.170350229253,0.2,-0.35
45.0,108,AV,0,7,2,3,4,0,0,46,6248.181898567973,0.5,-0.95
30.75,73,AV,2,1,2,3,11,0,0,60,539.5213747330826,0.3,-0.6074999999999999
22.583333333333332,241,AV,0,7,2,3,1,0,0,35,457.16351791608827,0.2,-0.42583333333333334
27.9,222,AV,2,1,2,3,11,0,0,51,1205.4292211271013,0.1,-0.379
55.666666666666664,29,AV,0,7,2,3,5,0,0,50,3971.0791127863904,0.6,-1.1566666666666667
115.11666666666666,255,AV,0,7,2,3,10,0,0,83,776.0711537761008,0.4,-1.5511666666666666
15.85,109,AV,0,7,2,3,2,0,0,26,1454.957177165027,0.2,-0.35850000000000004
17.35,184,AV,2,1,2,3,7,0,0,37,419.7646265090227,0.7,-0.8734999999999999
11.766666666666667,272,AV,2,1,2,3,5,0,0,18,1434.4967426379471,0.1,-0.21766666666666667
