travel_time,id,kind,action,origin,destination,start_time,income,reward,cost_table
24.783333333333335,47,AV,2,0,0,53,146.5418908748877,-0.3783121384218021,"0,0,0"
11.433333333333334,151,AV,0,0,0,32,583.7823068318808,-10.695268511261581,"0,0,0"
22.1,114,AV,2,0,0,51,395.41168599267854,-0.9102706521289788,"0,0,0"
29.1,210,AV,1,0,0,65,1242.0870586589915,-3.7650763965600684,"0,0,0"
30.916666666666668,126,AV,1,0,0,74,459.5666621971018,-1.4800280527354581,"0,0,0"
10.2,160,AV,0,0,0,33,652.2976657536553,-10.693066269863259,"0,0,0"
30.516666666666666,193,AV,1,0,0,74,1018.822300794707,-3.238652140199841,"0,0,0"
10.166666666666666,249,AV,0,0,0,30,2108.112350525404,-12.232549537882806,"0,0,0"
23.883333333333333,291,AV,2,0,0,52,6047.562581916305,-15.04541177063553,"0,0,0"
23.833333333333332,279,AV,1,0,0,54,4142.092896692985,-10.283320906720432,"0,0,0"
22.216666666666665,181,AV,0,0,0,53,841.5283253803161,-11.947495239117988,"0,0,0"
25.95,225,AV,2,0,0,53,1602.6509836919151,-4.332165940292208,"0,0,0"
9.066666666666666,293,AV,2,0,0,7,6548.308069009755,-6.184513176286991,"0,0,0"
8.516666666666667,174,AV,1,0,0,28,785.2592791792863,-0.6966449507996794,"0,0,0"
10.016666666666667,187,AV,0,0,0,29,958.9016402765042,-11.000520635080171,"0,0,0"
11.183333333333334,243,AV,2,0,0,25,1961.8187008233435,-2.2853825490494155,"0,0,0"
11.25,141,AV,0,0,0,33,525.5583758718675,-10.615888721724845,"0,0,0"
32.766666666666666,162,AV,1,0,0,85,663.4811418636766,-2.2645901474027577,"0,0,0"
10.366666666666667,131,AV,2,0,0,27,490.2004672300651,-0.529348421210244,"0,0,0"
10.883333333333333,120,AV,0,0,0,32,418.14823866796286,-10.474046527517674,"0,0,0"
22.516666666666666,62,AV,0,0,0,52,174.5089400609995,-10.409308295177796,"0,0,0"
19.3,100,AV,2,0,0,43,314.9423294142533,-0.6331653080932385,"0,0,0"
14.833333333333334,172,AV,1,0,0,42,776.9842538847105,-1.200548586731584,"0,0,0"
28.266666666666666,63,AV,2,0,0,59,178.27480847600162,-0.5249202694015603,"0,0,0"
7.166666666666667,298,AV,1,0,0,20,8213.476830708638,-6.131588606258185,"0,0,0"
12.1,97,AV,0,0,0,33,309.1361742137219,-10.389640386248546,"0,0,0"
27.916666666666668,103,AV,0,0,0,62,322.451279720292,-10.937683842936613,"0,0,0"
19.366666666666667,117,AV,0,0,0,50,399.2352950386727,-10.80540175839399,"0,0,0"
25.266666666666666,271,AV,2,0,0,55,3274.3376981831766,-8.617874913968222,"0,0,0"
21.5,154,AV,2,0,0,49,598.645261160854,-1.3407159494748293,"0,0,0"
16.433333333333334,297,AV,1,0,0,43,7537.310895106899,-12.902410664193408,"0,0,0"
13.8,158,AV,1,0,0,41,624.6226227448327,-0.8978950201956971,"0,0,0"
7.55,52,AV,0,0,0,25,150.75814936612252,-10.118565002886898,"0,0,0"
11.233333333333333,106,AV,0,0,0,34,329.1128778114398,-10.385107777161302,"0,0,0"
14.716666666666667,170,AV,0,0,0,39,751.2181641591902,-11.151607012070425,"0,0,0"
13.616666666666667,128,AV,1,0,0,39,464.6678677536831,-0.6590861943659011,"0,0,0"
7.966666666666667,211,AV,0,0,0,27,1247.1783492367942,-11.034984810651368,"0,0,0"
8.566666666666666,95,AV,0,0,0,25,297.660864959905,-10.265620980189915,"0,0,0"
19.216666666666665,178,AV,0,0,0,48,820.6009539766088,-11.642626562387205,"0,0,0"
16.85,7,AV,1,0,0,44,45.75346762782524,-0.08030686765925577,"0,0,0"
19.333333333333332,69,AV,0,0,0,46,198.9364111902541,-10.400635828091485,"0,0,0"
13.816666666666666,163,AV,2,0,0,36,679.8899681104378,-0.978522193686724,"0,0,0"
14.816666666666666,24,AV,0,0,0,42,103.84352821458296,-10.160272389900632,"0,0,0"
24.833333333333332,29,AV,0,0,0,57,113.58015164476134,-10.293809767275512,"0,0,0"
23.433333333333334,179,AV,0,0,0,54,831.0610558222916,-12.028596952232885,"0,0,0"
17.316666666666666,214,AV,0,0,0,44,1286.053278449689,-12.319807910259074,"0,0,0"
25.416666666666668,283,AV,0,0,0,57,4238.798478728168,-21.222513333438293,"0,0,0"
29.45,35,AV,1,0,0,68,119.90264734729368,-0.36782635045602075,"0,0,0"
20.166666666666668,198,AV,1,0,0,49,1089.3362437890603,-2.2883625954596583,"0,0,0"
25.85,264,AV,1,0,0,57,2643.144867813206,-7.117218211767852,"0,0,0"
25.533333333333335,232,AV,2,0,0,55,1747.2223031309911,-4.647125986799789,"0,0,0"
16.316666666666666,146,AV,2,0,0,39,550.6946902367042,-0.9359897599682871,"0,0,0"
25.15,28,AV,1,0,0,56,111.4275735234741,-0.29191702855368473,"0,0,0"
21.2,269,AV,2,0,0,50,3223.7986973572483,-7.11922212333059,"0,0,0"
29.05,3,AV,0,0,0,65,41.97637947099244,-10.127022273295035,"0,0,0"
17.75,182,AV,2,0,0,43,851.504708110295,-1.5743967259330978,"0,0,0"
16.483333333333334,83,AV,1,0,0,43,250.64646962693703,-0.430363469550418,"0,0,0"
13.166666666666666,144,AV,1,0,0,36,545.4154669598349,-0.7480524633650514,"0,0,0"
28.066666666666666,148,AV,0,0,0,67,558.1141497724398,-11.631708729543035,"0,0,0"
12.933333333333334,135,AV,2,0,0,33,496.51834765204126,-0.668920551697889,"0,0,0"
16.633333333333333,102,AV,1,0,0,44,320.06022134041564,-0.5545487862807896,"0,0,0"
15.45,55,AV,0,0,0,39,158.6453765370725,-10.25531990286435,"0,0,0"
12.916666666666666,15,AV,2,0,0,35,71.85667082931167,-0.09668215259152177,"0,0,0"
25.316666666666666,77,AV,2,0,0,52,232.4104689217076,-0.6129019137015171,"0,0,0"
29.633333333333333,278,AV,0,0,0,69,4014.416794072557,-22.391724062258692,"0,0,0"
20.65,156,AV,0,0,0,52,613.3437180047252,-11.319327893416414,"0,0,0"
20.666666666666668,36,AV,2,0,0,48,124.49878090740816,-0.2680182088978926,"0,0,0"
21.116666666666667,268,AV,1,0,0,50,2914.532072633756,-6.410958569491266,"0,0,0"
20.316666666666666,19,AV,0,0,0,49,81.98663065503159,-10.17350990063973,"0,0,0"
18.05,130,AV,2,0,0,43,485.2868445916232,-0.9124403692582083,"0,0,0"
26.433333333333334,167,AV,2,0,0,56,739.770865126007,-2.0369385279337626,"0,0,0"
29.5,22,AV,1,0,0,70,99.17747128700466,-0.30476410447569136,"0,0,0"
31.783333333333335,201,AV,2,0,0,73,1101.3648052025387,-3.6463588255577104,"0,0,0"
13.266666666666667,219,AV,0,0,0,38,1404.5452902401748,-11.94100356081802,"0,0,0"
6.783333333333333,236,AV,0,0,0,14,1774.068670084103,-11.253551994312899,"0,0,0"
26.883333333333333,16,AV,2,0,0,56,73.09160502322729,-0.20468187309455835,"0,0,0"
24.083333333333332,50,AV,1,0,0,54,150.17494538557966,-0.3767409654204211,"0,0,0"
26.8,51,AV,1,0,0,60,150.19786753247394,-0.4193023801948231,"0,0,0"
25.95,280,AV,0,0,0,58,4143.239939929384,-21.199695462621616,"0,0,0"
21.133333333333333,202,AV,1,0,0,51,1116.1541548808557,-2.4570893548418837,"0,0,0"
33.21666666666667,101,AV,2,0,0,71,320.04731439316066,-1.10738593330828,"0,0,0"
31.633333333333333,30,AV,0,0,0,85,115.0399324216134,-10.379072555097608,"0,0,0"
25.483333333333334,85,AV,0,0,0,58,259.2429388604687,-10.688163981801488,"0,0,0"
13.516666666666667,42,AV,0,0,0,38,136.2460599181302,-10.191832560058339,"0,0,0"
20.266666666666666,205,AV,1,0,0,49,1155.9184127803474,-2.4402722047585113,"0,0,0"
19.683333333333334,272,AV,1,0,0,48,3281.5185664942933,-6.728252477482222,"0,0,0"
21.566666666666666,149,AV,0,0,0,52,562.3433560323172,-11.26331996997538,"0,0,0"
20.6,224,AV,0,0,0,51,1538.1167769809852,-13.30054225060503,"0,0,0"
23.733333333333334,221,AV,1,0,0,54,1513.0287564075045,-3.740543314451886,"0,0,0"
