agent_id,Run 1,Run 2,Run 3
0,31.103038674033147,24.546754385964913,37.76934731934732
1,12.655801104972374,24.366842105263157,38.012121212121215
2,8.844567219152854,32.955263157894734,28.17167832167832
3,29.385819521178636,14.372543859649122,11.357575757575757
4,39.74033149171271,8.586666666666666,23.827738927738928
5,22.299907918968692,31.83298245614035,40.63531468531468
6,22.704327808471458,14.983771929824561,32.17062937062937
7,36.49410681399632,31.86991228070175,41.05524475524475
8,40.33802946593002,15.186929824561405,28.078205128205127
9,17.459116022099447,24.18421052631579,29.50874125874126
10,29.881123388581955,28.74491228070175,26.564102564102562
11,25.42476979742173,32.21666666666667,33.288578088578085
12,32.684806629834256,21.38482456140351,18.702097902097904
13,32.050276243093926,35.56482456140351,39.109790209790205
14,29.343186003683243,29.456929824561403,17.586130536130536
15,32.18747697974217,26.977456140350874,39.04918414918414
16,18.58084714548803,18.944298245614036,9.58927738927739
17,18.237476979742173,30.851842105263156,17.972727272727273
18,26.274217311233887,33.41359649122807,10.123543123543124
19,35.79198895027624,20.071315789473683,39.597668997669
20,29.10386740331492,15.294298245614034,29.476107226107224
21,16.581583793738492,26.342368421052633,33.875757575757575
22,37.11519337016574,24.94201754385965,18.83986013986014
23,11.214548802946593,20.039736842105263,32.01421911421911
24,18.380386740331492,26.508245614035086,14.984731934731935
25,13.761602209944751,33.242105263157896,31.791608391608392
26,38.913904235727436,31.139824561403508,16.724358974358974
27,38.149447513812156,38.789385964912285,22.50431235431235
28,37.58057090239411,32.14,39.431235431235436
29,14.875874769797422,28.967719298245616,21.243706293706293
30,33.67394106813997,32.812894736842104,32.2537296037296
31,36.67504604051565,33.22359649122807,17.99020979020979
32,24.45893186003683,36.05131578947368,30.24405594405594
33,34.30064456721915,32.1480701754386,19.674825174825173
34,40.091160220994475,11.472719298245615,17.3006993006993
35,33.625046040515656,40.20333333333333,35.373659673659674
36,11.73462246777164,29.871754385964913,11.322960372960374
37,23.04235727440147,28.218771929824563,39.03006993006993
38,9.888581952117864,26.716140350877193,19.00128205128205
39,18.36270718232044,12.538157894736843,11.475990675990676
40,32.15082872928177,27.070263157894733,11.652447552447551
41,38.911325966850825,36.6028947368421,13.46993006993007
42,21.296500920810313,20.350350877192984,19.642540792540792
43,24.044843462246778,13.640350877192981,29.2006993006993
44,25.584530386740333,38.41543859649123,17.464918414918415
45,8.480018416206262,11.381754385964912,31.898368298368297
46,27.099079189686925,27.4659649122807,16.52890442890443
47,38.912799263351744,19.583684210526314,41.44988344988345
48,24.962891344383053,17.081754385964913,32.71829836829836
49,42.14419889502762,17.53982456140351,39.20897435897436
50,10.090423572744013,25.21657894736842,29.265034965034964
51,39.065193370165744,15.965350877192982,17.395571095571096
52,9.834069981583793,24.383333333333333,35.95454545454545
53,35.86878453038674,18.179912280701753,13.613752913752913
54,14.502578268876611,14.649649122807018,33.61188811188811
55,11.744106813996318,36.85745614035088,23.76328671328671
56,12.637108655616943,18.203771929824562,12.214801864801865
57,29.271270718232042,34.78517543859649,31.220512820512816
58,25.24208103130755,11.5790350877193,30.11060606060606
59,20.806998158379372,40.9459649122807,29.011888111888112
60,26.01758747697974,30.79701754385965,33.168764568764566
61,39.21390423572744,25.654035087719297,24.12109557109557
62,33.312891344383054,26.96438596491228,39.40862470862471
63,33.200460405156534,37.67578947368421,34.63228438228438
64,29.457090239410682,12.175350877192981,23.822610722610722
65,17.966114180478822,41.007456140350875,32.35804195804196
66,17.692265193370165,27.179824561403507,38.81118881118881
67,24.142081031307548,38.925438596491226,30.592074592074596
68,40.60441988950276,24.13754385964912,14.822960372960374
69,40.580939226519334,15.657280701754384,28.637645687645687
70,30.66289134438306,39.617982456140346,21.40291375291375
71,31.401289134438304,13.288771929824563,27.556177156177156
72,36.57707182320442,19.442456140350878,35.014685314685316
73,20.876611418047883,28.51815789473684,19.29149184149184
74,24.408379373848987,41.78842105263158,15.366317016317016
75,32.49972375690608,13.520877192982457,39.964918414918415
76,19.251749539594844,35.21464912280702,26.18368298368298
77,22.884714548802947,32.828508771929826,32.512587412587415
78,21.547882136279924,27.697192982456137,23.409673659673658
79,19.831399631675872,38.064473684210526,40.01876456876457
80,34.776058931860035,37.60035087719298,13.673659673659673
81,19.09281767955801,23.56280701754386,34.83205128205128
82,7.645580110497237,41.44754385964912,41.76550116550116
83,14.35561694290976,26.17438596491228,12.97925407925408
84,12.955156537753222,38.919649122807016,22.263519813519814
85,18.404972375690605,7.150701754385964,27.923543123543123
86,29.772836095764273,13.093245614035087,12.155594405594405
87,21.96611418047882,24.74850877192982,15.861421911421912
88,35.22983425414365,39.68771929824561,28.497902097902095
89,20.41427255985267,33.6019298245614,13.167249417249417
90,36.581215469613255,30.15201754385965,13.112937062937064
91,23.80377532228361,16.965701754385965,24.399184149184148
92,10.354880294659301,7.643245614035088,10.424009324009324
93,20.044014732965007,26.507280701754386,41.00804195804196
94,35.939594843462245,24.74517543859649,23.14242424242424
95,34.735174953959486,20.47973684210526,9.77051282051282
96,32.73812154696133,11.326842105263157,36.45990675990676
97,16.722836095764272,33.92508771929825,25.46048951048951
98,11.894843462246778,9.21219298245614,29.840209790209787
99,27.843001841620623,16.335087719298244,8.94918414918415
100,26.970441988950274,34.370438596491226,38.93846153846154
101,28.432504604051562,12.824210526315788,11.468648018648018
102,36.42044198895028,40.432192982456144,29.640559440559436
103,30.333609576427257,11.748596491228069,23.102913752913754
104,40.60046040515654,28.69043859649123,27.19335664335664
105,26.687108655616942,37.58289473684211,10.408857808857809
106,26.605248618784533,20.741140350877192,22.90909090909091
107,22.82845303867403,40.2269298245614,19.02051282051282
108,11.659576427255985,37.60140350877193,40.5967365967366
109,16.729926335174955,30.57017543859649,36.71853146853147
110,40.817771639042356,24.11035087719298,13.601981351981351
111,27.356077348066297,38.49701754385965,15.308391608391608
112,24.898250460405155,40.236754385964915,10.21969696969697
113,35.38342541436464,40.106491228070176,24.78426573426573
114,20.873848987108655,13.47842105263158,35.57027972027972
115,27.038121546961325,19.13973684210526,10.425407925407924
116,9.007458563535911,36.52412280701754,7.895804195804195
117,15.311878453038673,40.14228070175438,32.206759906759906
118,13.477992633517497,18.630877192982453,35.288111888111885
119,38.84953959484346,15.449210526315788,27.2006993006993
120,11.716114180478822,36.85236842105263,20.46048951048951
121,17.79401473296501,32.3759649122807,39.5037296037296
122,28.11307550644567,14.92859649122807,13.953846153846154
123,19.070165745856354,29.447982456140352,10.185897435897436
124,16.165285451197054,19.87938596491228,20.02261072261072
125,21.138121546961326,35.62850877192982,16.95979020979021
126,30.067587476979742,24.433421052631576,28.231351981351978
127,13.2951197053407,19.72131578947368,14.042424242424241
128,9.23462246777164,9.334912280701754,27.945454545454545
129,19.857366482504606,34.432631578947365,40.2995337995338
130,18.156169429097606,14.011842105263158,16.637412587412587
131,11.267771639042357,37.04815789473684,16.01153846153846
132,16.034438305709024,23.798070175438596,28.21118881118881
133,18.171178637200736,37.81938596491228,23.99988344988345
134,23.93526703499079,39.43280701754386,28.701864801864804
135,28.380755064456718,25.767631578947366,33.48449883449884
136,12.661878453038675,32.61105263157895,38.46468531468531
137,10.756353591160222,24.19815789473684,34.22331002331002
138,23.166574585635356,32.04043859649123,15.795804195804196
139,30.189594843462245,34.946140350877194,17.718648018648018
140,10.357274401473298,21.81342105263158,10.46923076923077
141,33.54889502762431,37.533157894736846,36.89557109557109
142,21.68222836095764,35.99061403508772,10.06025641025641
143,13.528637200736648,32.359736842105264,15.188344988344989
144,22.510036832412524,19.92254385964912,6.940909090909091
145,40.354696132596686,8.602017543859649,36.187179487179485
146,36.85515653775322,36.36921052631579,11.73076923076923
147,14.063627992633519,34.80201754385965,40.447668997669
148,32.99005524861878,16.538508771929823,31.09195804195804
149,25.04953959484346,8.002719298245614,23.60932400932401
150,12.894475138121548,20.276491228070174,26.92365967365967
151,31.073572744014733,23.125701754385965,20.34300699300699
152,39.39208103130755,19.67684210526316,30.243822843822844
153,30.202209944751377,13.811666666666667,22.80454545454545
154,36.62523020257827,40.44982456140351,20.335780885780885
155,15.433149171270719,12.966491228070176,24.977738927738926
156,8.280202578268877,16.847894736842104,21.277855477855475
157,24.67458563535911,23.43122807017544,19.587878787878786
158,30.827255985267037,33.30587719298246,34.105827505827506
159,36.61427255985267,27.037017543859648,38.06200466200466
160,24.78084714548803,23.251315789473683,38.95757575757576
161,34.77651933701657,18.26517543859649,13.932750582750582
162,30.710865561694288,36.54824561403509,26.081235431235427
163,29.033609576427253,11.542017543859648,11.523076923076923
164,41.247053406998155,30.136228070175438,21.635431235431234
165,20.288397790055246,9.66,26.36083916083916
166,17.201565377532226,9.728070175438596,15.48834498834499
167,38.42707182320442,12.588771929824562,33.53275058275058
168,36.79861878453039,37.107894736842105,38.920396270396274
169,18.2597605893186,30.257456140350875,9.856526806526807
170,7.652946593001842,18.779210526315786,20.689860139860137
171,26.96473296500921,17.93456140350877,8.82983682983683
172,24.015009208103127,10.296491228070176,14.847902097902098
173,8.619060773480662,9.231228070175439,30.08869463869464
174,15.788581952117864,22.56877192982456,9.39988344988345
175,40.569797421731124,21.48956140350877,24.495221445221446
176,13.545580110497237,32.49473684210526,11.742540792540792
177,9.824677716390424,10.798596491228071,32.30897435897436
178,40.81243093922652,29.321842105263155,13.057109557109557
179,12.51206261510129,17.332894736842107,38.3016317016317
180,13.48766114180479,23.90473684210526,19.714452214452212
181,26.149723756906074,18.36894736842105,18.122144522144524
182,33.81012891344383,39.337543859649124,16.427622377622377
183,31.27780847145488,27.1440350877193,15.279370629370629
184,28.192541436464087,41.06701754385965,37.83799533799534
185,41.61593001841621,27.32657894736842,17.243822843822844
186,37.67292817679557,33.591842105263154,27.042890442890442
187,20.04548802946593,20.945526315789472,30.49032634032634
188,34.305064456721915,17.285263157894736,9.42960372960373
189,26.750828729281768,8.492368421052632,33.1025641025641
190,10.208563535911603,17.135263157894737,26.087645687645686
191,31.856261510128913,31.189385964912283,24.69848484848485
192,26.37744014732965,15.209736842105263,30.866783216783215
193,17.29696132596685,26.443421052631578,21.248018648018647
194,24.099999999999998,21.358421052631577,24.475641025641025
195,20.620902394106814,22.639999999999997,32.42680652680652
196,28.13683241252302,37.60114035087719,36.82855477855478
197,31.953130755064457,28.217105263157894,18.81142191142191
198,14.096408839779004,11.418771929824562,31.11655011655012
199,12.588029465930019,11.922456140350878,36.646270396270396
200,32.37412523020257,22.987105263157897,34.78065268065268
201,33.942633517495395,22.832631578947368,37.63776223776224
202,27.563812154696134,9.900701754385965,34.34918414918415
203,9.722099447513813,36.585175438596494,41.01491841491841
204,30.458011049723755,30.686842105263157,40.958624708624704
205,17.25755064456722,30.20298245614035,29.838927738927737
206,12.146132596685081,38.100087719298244,14.022027972027972
207,9.638950276243094,29.802017543859648,20.04965034965035
208,27.083241252302024,17.786491228070176,34.37972027972028
209,39.231307550644566,40.36245614035088,10.345337995337996
210,14.834806629834254,28.30061403508772,31.243356643356645
211,11.300828729281768,24.555087719298243,15.606526806526805
212,28.508195211786372,15.005438596491228,35.83216783216783
213,40.27771639042357,41.15728070175439,33.75454545454545
214,8.510405156537754,20.998157894736842,34.228205128205126
215,32.34327808471455,30.091228070175436,7.532051282051282
216,15.126243093922652,25.368070175438596,36.360955710955714
217,19.610036832412522,28.790877192982453,12.590909090909092
218,27.502578268876608,9.510087719298246,39.49428904428905
219,19.93600368324125,33.647456140350876,19.844988344988344
220,22.496777163904234,9.947280701754385,20.585547785547785
221,30.3304788213628,13.68219298245614,24.398717948717948
222,19.78268876611418,33.60035087719298,18.271794871794874
223,9.045764272559852,30.389035087719297,30.144755244755242
224,24.426335174953955,16.067456140350878,40.16398601398601
225,23.22882136279926,11.715175438596491,25.387179487179488
226,11.49244935543278,19.252543859649123,40.02354312354313
227,26.322099447513814,36.393508771929824,24.40874125874126
228,15.796224677716392,11.213157894736842,22.805594405594405
229,39.27338858195212,21.428947368421053,28.517482517482517
230,20.260773480662984,10.32578947368421,13.046386946386948
231,19.045580110497237,30.14640350877193,11.74020979020979
232,17.614732965009207,31.74438596491228,40.30874125874126
