agent_id,mean_across_runs,std_across_runs,min_across_runs,max_across_runs,best_run,worst_run
0,24.606666666666666,0.8449687699685835,23.9,25.53333333333333,Run 3,Run 1
1,13.436666666666667,0.475715834879979,12.6,13.783333333333331,Run 4,Run 3
2,27.759999999999998,0.29547513525769803,27.416666666666668,28.23333333333333,Run 2,Run 1
3,29.976666666666667,0.8255133083253268,28.833333333333325,31.15,Run 1,Run 5
4,8.953333333333333,1.0417266649387662,7.7333333333333325,9.816666666666666,Run 2,Run 5
5,9.823333333333334,0.8563164005072995,9.233333333333333,11.25,Run 2,Run 3
6,21.923333333333336,0.36564250907743895,21.516666666666666,22.35,Run 2,Run 1
7,17.93,0.5994673561680481,17.1,18.53333333333333,Run 5,Run 4
8,22.1,0.711902771139118,21.28333333333333,22.7,Run 4,Run 3
9,13.606666666666666,0.9589201102165795,12.15,14.333333333333334,Run 3,Run 2
10,29.439999999999998,0.8098010729665499,28.78333333333333,30.816666666666663,Run 5,Run 3
11,29.4,0.791184063427861,28.65,30.65,Run 3,Run 1
12,22.53666666666667,0.46133863195415664,21.866666666666667,22.95,Run 5,Run 2
13,30.703333333333337,0.5941146541049296,30.1,31.45,Run 2,Run 4
14,27.056666666666665,0.9071934744033398,26.016666666666662,28.05,Run 1,Run 3
15,11.306666666666667,0.34046536779335834,10.783333333333331,11.666666666666666,Run 2,Run 1
16,25.42,0.8802146202931295,24.683333333333334,26.866666666666667,Run 4,Run 3
17,11.809999999999999,0.7972696462859278,10.8,13.0,Run 2,Run 4
18,29.556666666666665,0.8577748992467534,28.48333333333333,30.516666666666662,Run 5,Run 3
19,21.633333333333333,0.7083823512451147,20.83333333333333,22.28333333333333,Run 4,Run 3
20,19.19,0.9922337314251013,18.33333333333333,20.35,Run 2,Run 3
21,14.733333333333334,0.7171509991316715,13.8,15.3,Run 2,Run 1
22,30.369999999999994,0.48267196129693063,29.833333333333325,31.116666666666667,Run 1,Run 2
23,19.14666666666667,0.6811346742344321,18.73333333333333,20.35,Run 5,Run 1
24,15.626666666666669,0.722514897962511,14.566666666666666,16.2,Run 4,Run 5
25,17.276666666666667,0.7446662190389584,16.5,18.383333333333333,Run 2,Run 1
26,26.18,0.3298568713177817,25.93333333333333,26.7,Run 1,Run 4
27,25.676666666666666,0.8192645753628345,24.98333333333333,27.0,Run 1,Run 4
28,25.253333333333334,0.6978538528947178,24.58333333333333,26.416666666666668,Run 4,Run 1
29,25.723333333333336,0.6719168268634315,25.133333333333333,26.883333333333333,Run 5,Run 3
30,31.71666666666666,0.8422027995415096,31.016666666666662,33.18333333333333,Run 2,Run 4
31,16.663333333333334,0.7762445204673312,15.48333333333333,17.316666666666666,Run 3,Run 2
32,15.133333333333335,0.769920630830072,14.3,16.083333333333332,Run 3,Run 2
33,13.469999999999999,0.939813811347759,12.4,14.51666666666667,Run 1,Run 5
34,27.67333333333333,0.9195862596237981,27.03333333333333,29.266666666666662,Run 5,Run 1
35,30.199999999999996,0.8836477427874362,29.25,31.316666666666663,Run 1,Run 3
36,19.98333333333333,0.7506478683259039,19.35,20.85,Run 2,Run 4
37,14.566666666666666,0.6866788024817557,13.35,14.966666666666669,Run 1,Run 4
38,12.646666666666665,0.3400163394766659,12.35,13.15,Run 1,Run 5
39,27.46666666666666,0.9293815147720553,26.516666666666662,28.46666666666666,Run 1,Run 4
40,28.439999999999998,0.9175450337116343,27.366666666666667,29.46666666666666,Run 1,Run 4
41,27.25333333333333,0.9541866810128002,26.566666666666663,28.78333333333333,Run 2,Run 3
42,13.646666666666667,1.003355481483119,13.05,15.433333333333334,Run 1,Run 4
43,23.73,0.7996005947415943,22.883333333333333,24.633333333333333,Run 3,Run 5
44,22.093333333333334,0.4028716365736816,21.48333333333333,22.433333333333334,Run 2,Run 5
45,23.256666666666668,0.30586852658545216,22.98333333333333,23.78333333333333,Run 2,Run 3
46,29.839999999999996,0.9849985899595102,28.65,31.383333333333333,Run 2,Run 3
47,23.46,0.708931120302484,22.816666666666663,24.6,Run 1,Run 2
48,27.99,0.47472214095311827,27.18333333333333,28.416666666666668,Run 1,Run 4
49,20.98,0.5746254818962031,20.133333333333333,21.73333333333333,Run 1,Run 2
50,24.93,0.9583985485056732,23.58333333333333,25.85,Run 1,Run 3
51,27.17666666666666,0.8020459948019076,26.083333333333325,28.03333333333333,Run 5,Run 1
52,8.816666666666666,0.6370504951205463,7.7,9.266666666666667,Run 5,Run 3
53,17.55,0.6733003292241381,17.066666666666666,18.7,Run 2,Run 5
54,15.34,0.7363196769519789,14.816666666666666,16.516666666666666,Run 5,Run 2
55,15.613333333333333,0.9200996322862728,15.1,17.25,Run 1,Run 2
56,17.66,0.8453795991545262,16.716666666666665,18.616666666666667,Run 4,Run 1
57,32.18333333333333,1.1972770031292772,30.95,33.53333333333333,Run 2,Run 3
58,13.319999999999999,0.6204165267517192,12.566666666666666,13.95,Run 2,Run 4
59,30.21666666666666,0.8940389004710897,29.016666666666662,31.116666666666667,Run 1,Run 3
60,9.646666666666667,1.106822278216135,8.566666666666666,10.816666666666666,Run 2,Run 3
61,17.91,0.8366268250805993,17.283333333333335,19.266666666666666,Run 4,Run 1
62,23.713333333333335,0.8483971816182422,22.6,24.433333333333334,Run 4,Run 3
63,27.48333333333333,1.100883483591451,26.35,28.666666666666668,Run 2,Run 1
64,28.923333333333336,0.9906226997870263,27.98333333333333,30.05,Run 4,Run 3
65,28.73666666666666,0.5264398245658172,27.95,29.316666666666663,Run 2,Run 4
66,17.773333333333333,0.583999619482372,17.25,18.683333333333334,Run 2,Run 3
67,15.09,0.7679879918042694,14.51666666666667,16.383333333333333,Run 1,Run 2
68,30.04333333333333,0.708539185774349,29.15,30.71666666666666,Run 1,Run 4
69,20.043333333333333,1.126609959125163,18.9,21.2,Run 4,Run 2
70,9.92,0.9112262799839204,9.066666666666666,10.9,Run 1,Run 5
71,11.783333333333331,1.1579435795121167,10.5,12.7,Run 3,Run 5
72,11.976666666666667,0.6866383489306593,11.466666666666669,13.15,Run 3,Run 5
73,27.24666666666667,0.9838557934078647,26.366666666666667,28.316666666666663,Run 1,Run 2
74,23.81,0.5648992043817316,22.83333333333333,24.3,Run 3,Run 1
75,28.939999999999998,1.110092588731029,27.23333333333333,29.85,Run 2,Run 1
76,15.676666666666666,1.0131496544056178,14.883333333333331,17.333333333333332,Run 2,Run 4
77,24.04,0.8218035720968314,23.133333333333333,25.3,Run 3,Run 5
78,27.866666666666664,0.8420378719379418,27.18333333333333,29.28333333333333,Run 2,Run 3
79,17.696666666666665,0.8674195447801843,17.033333333333335,19.08333333333333,Run 1,Run 4
80,26.073333333333334,0.370922273978435,25.433333333333334,26.366666666666667,Run 4,Run 1
