travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward,observation,cost_table
13.75,47,AV,2,0,0,38,133.4659453520906,5,-0.9558108065579406,"38,21,18,25,5","0,0,0"
16.516666666666666,151,AV,1,0,0,45,575.1506531095453,7,-6.926770973300201,"45,31,31,41,7","0,0,0"
6.6,114,AV,0,0,0,12,386.6869563383244,9,-2.5926255423433826,"12,0,0,1,9","0,0,0"
16.166666666666668,210,AV,0,0,0,46,1088.2969295046496,3,-5.698166779268282,"46,32,34,43,3","0,0,0"
20.766666666666666,126,AV,2,0,0,53,431.5545596554155,1,-0.9335364259212633,"53,43,51,61,1","0,0,0"
27.533333333333335,160,AV,0,0,0,66,638.6125852208626,5,-9.357881864451953,"66,83,74,90,5","0,0,0"
14.883333333333333,193,AV,2,0,0,40,879.4569147307811,6,-8.180781508901953,"40,22,22,29,6","0,0,0"
20.416666666666668,249,AV,0,0,0,54,1984.527452647332,9,-38.185095773327845,"54,44,51,64,9","0,0,0"
29.416666666666668,291,AV,0,0,0,70,6889.440575807377,5,-105.75436298871547,"70,89,77,99,5","0,0,0"
29.3,279,AV,1,0,0,65,4563.469026318328,10,-139.28087757409065,"65,82,73,90,10","0,0,0"
26.166666666666668,181,AV,2,0,0,61,811.7618276102137,1,-2.212614703729228,"61,67,61,79,1","0,0,0"
27.916666666666668,225,AV,1,0,0,66,1328.242730468568,1,-3.862511412386895,"66,83,74,90,1","0,0,0"
24.016666666666666,293,AV,1,0,0,60,7909.367438840313,1,-19.787150137793216,"60,63,57,79,1","0,0,0"
13.566666666666666,174,AV,0,0,0,42,776.9842538847105,2,-2.3960596620213694,"42,25,25,34,2","0,0,0"
27.0,187,AV,0,0,0,64,839.0520067047356,3,-7.279501306571208,"64,77,71,87,3","0,0,0"
28.983333333333334,243,AV,0,0,0,69,1784.5292360016556,2,-10.975334518773884,"69,88,77,97,2","0,0,0"
20.933333333333334,141,AV,2,0,0,49,530.5096238130133,2,-2.313611414962308,"49,40,37,50,2","0,0,0"
22.0,162,AV,0,0,0,57,643.7584247618538,7,-10.52695806388807,"57,53,53,74,7","0,0,0"
15.533333333333333,131,AV,2,0,0,42,463.5609856948989,10,-7.500674282424406,"42,25,25,34,10","0,0,0"
18.216666666666665,120,AV,2,0,0,47,399.2352950386727,6,-4.545460182054889,"47,36,36,45,6","0,0,0"
20.1,62,AV,2,0,0,50,169.7890214745277,2,-0.7109915274245847,"50,40,43,56,2","0,0,0"
18.8,100,AV,1,0,0,49,326.6611525075772,4,-2.558845694642688,"49,40,37,50,4","0,0,0"
10.3,172,AV,2,0,0,25,767.3976080113814,4,-3.2934147343821794,"25,9,4,5,4","0,0,0"
12.483333333333333,63,AV,2,0,0,32,169.82949868332335,3,-0.6625119505927561,"32,16,12,19,3","0,0,0"
22.766666666666666,298,AV,0,0,0,56,14168.539128501588,5,-168.2054205688643,"56,50,52,69,5","0,0,0"
12.666666666666666,97,AV,2,0,0,29,320.7965168913313,1,-0.42327318200939545,"29,12,10,10,1","0,0,0"
17.733333333333334,103,AV,2,0,0,46,329.1128778114398,5,-3.0397231075639923,"46,32,34,43,5","0,0,0"
16.166666666666668,117,AV,0,0,0,46,389.8623022518242,5,-3.482694732502339,"46,32,34,43,5","0,0,0"
23.133333333333333,271,AV,0,0,0,59,3839.265238466288,1,-9.451562762137513,"59,58,56,78,1","0,0,0"
17.616666666666667,154,AV,2,0,0,44,589.8964011874154,1,-1.0825008612067677,"44,29,29,37,1","0,0,0"
19.533333333333335,297,AV,1,0,0,52,12228.630986459028,1,-24.88186721550344,"52,40,48,58,1","0,0,0"
21.083333333333332,158,AV,2,0,0,51,613.3437180047252,1,-1.3470135473541274,"51,40,44,57,1","0,0,0"
31.4,52,AV,1,0,0,75,146.50232543619936,1,-0.4791846894475687,"75,93,83,102,1","0,0,0"
27.366666666666667,106,AV,2,0,0,63,344.4638177112048,3,-2.945883274384366,"63,73,68,85,3","0,0,0"
19.033333333333335,170,AV,2,0,0,49,745.476369685405,7,-10.346073089001958,"49,40,37,50,7","0,0,0"
13.816666666666666,128,AV,0,0,0,42,448.5456012777513,1,-0.8455630268389858,"42,25,25,34,1","0,0,0"
19.283333333333335,211,AV,1,0,0,51,1093.203701105051,4,-8.783588070684335,"51,40,44,57,4","0,0,0"
23.25,95,AV,0,0,0,58,316.7820495087218,1,-0.9672065261539355,"58,55,55,76,1","0,0,0"
18.283333333333335,178,AV,1,0,0,51,787.2200490673971,2,-2.998543034121301,"51,40,44,57,2","0,0,0"
26.483333333333334,7,AV,2,0,0,61,42.445954508197325,1,-0.11709482936375962,"61,67,61,79,1","0,0,0"
21.2,69,AV,0,0,0,54,186.6225394776352,2,-1.0242495493595556,"54,44,51,64,2","0,0,0"
12.433333333333334,163,AV,1,0,0,38,655.51268473851,2,-1.6979599403296126,"38,21,18,25,2","0,0,0"
26.5,24,AV,2,0,0,61,99.21817886091677,1,-0.273883514563989,"61,67,61,79,1","0,0,0"
21.816666666666666,29,AV,2,0,0,52,107.53285984632323,3,-0.7331276746814434,"52,40,48,58,3","0,0,0"
22.55,179,AV,2,0,0,55,787.2966827284853,1,-1.849327103700765,"55,48,52,64,1","0,0,0"
31.166666666666668,214,AV,2,0,0,67,1123.745243340676,1,-3.6482701476511536,"67,84,76,91,1","0,0,0"
9.183333333333334,283,AV,2,0,0,25,5418.173617588036,2,-10.366019664204888,"25,9,4,5,2","0,0,0"
23.166666666666668,35,AV,0,0,0,58,119.90264734729368,4,-1.357393609810682,"58,55,55,76,4","0,0,0"
18.483333333333334,198,AV,0,0,0,48,968.3977162602168,2,-3.929003706015905,"48,38,37,48,2","0,0,0"
11.416666666666666,264,AV,0,0,0,31,2784.710072629219,10,-33.31677777345513,"31,14,12,17,10","0,0,0"
33.266666666666666,232,AV,1,0,0,87,1462.3702856022126,4,-20.270077014319558,"87,97,90,107,4","0,0,0"
