travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward
42.96666666666667,38,AV,2,0,0,66,912.6272274022258,,-42.96666666666667
42.53333333333333,199,AV,2,0,0,56,3480.90175047103,,-42.53333333333333
30.616666666666667,49,AV,1,0,0,57,1017.530975349866,,-30.616666666666667
16.916666666666668,271,AV,1,0,0,37,6248.181898567973,,-16.916666666666668
23.083333333333332,117,AV,1,0,0,44,2105.159940183184,,-23.083333333333332
29.633333333333333,16,AV,1,0,0,57,743.7553910389753,,-29.633333333333333
15.85,178,AV,1,0,0,32,3065.2253709468137,,-15.85
38.733333333333334,93,AV,1,0,0,71,1653.1781197118603,,-38.733333333333334
20.45,281,AV,1,0,0,41,7897.119961473183,,-20.45
27.15,203,AV,2,0,0,24,3580.4564780460023,,-27.15
22.333333333333332,32,AV,1,0,0,44,861.805442805673,,-22.333333333333332
23.116666666666667,275,AV,1,0,0,45,6947.27484286379,,-23.116666666666667
8.483333333333333,138,AV,0,0,0,29,2398.572127464108,,-8.483333333333333
36.8,88,AV,2,0,0,56,1579.1767070066765,,-36.8
42.016666666666666,110,AV,2,0,0,63,1950.0200213032829,,-42.016666666666666
39.06666666666667,184,AV,2,0,0,62,3169.820795106812,,-39.06666666666667
19.216666666666665,83,AV,1,0,0,41,1528.3774584247917,,-19.216666666666665
45.28333333333333,75,AV,2,0,0,81,1421.705549214182,,-45.28333333333333
19.1,295,AV,1,0,0,38,11940.25564443948,,-19.1
38.6,86,AV,2,0,0,61,1552.9853059451273,,-38.6
14.55,206,AV,1,0,0,30,3651.018124108644,,-14.55
24.416666666666668,262,AV,2,0,0,36,5807.233742044462,,-24.416666666666668
39.53333333333333,89,AV,2,0,0,61,1592.2311391495805,,-39.53333333333333
21.383333333333333,218,AV,1,0,0,43,3942.222625638348,,-21.383333333333333
36.483333333333334,12,AV,1,0,0,66,646.5589615252754,,-36.483333333333334
26.666666666666668,25,AV,2,0,0,33,806.3598325453933,,-26.666666666666668
38.81666666666667,111,AV,1,0,0,81,1996.532829496936,,-38.81666666666667
30.766666666666666,241,AV,2,0,0,47,4756.448820673547,,-30.766666666666666
27.35,134,AV,1,0,0,55,2335.4036410281064,,-27.35
41.96666666666667,126,AV,2,0,0,65,2198.5025098873134,,-41.96666666666667
17.266666666666666,205,AV,1,0,0,36,3630.005597296026,,-17.266666666666666
33.03333333333333,82,AV,1,0,0,58,1527.6889462703334,,-33.03333333333333
37.86666666666667,263,AV,1,0,0,72,5899.132481879994,,-37.86666666666667
44.71666666666667,17,AV,2,0,0,79,743.7818724069466,,-44.71666666666667
23.766666666666666,278,AV,0,0,0,61,7336.658338656486,,-23.766666666666666
36.766666666666666,112,AV,1,0,0,72,1997.7276787447236,,-36.766666666666666
9.883333333333333,135,AV,0,0,0,36,2344.9936519099742,,-9.883333333333333
13.016666666666667,260,AV,1,0,0,26,5611.673516276995,,-13.016666666666667
27.283333333333335,261,AV,2,0,0,40,5721.231751015957,,-27.283333333333335
