origins,destinations,path,free_flow_time
18,18,andermatt_entry -136646886#4 -136646886#0 E5 E7 -184904895 -35164919#2 -1355624955#4 -1355624955#1 -1280026025 -35192918 93293334 93293343#8 335329132 335329133 -24765232 -24765230#0 -26825644 -35192917 -1194954759 -619870904 -1194954755 -1194954753 -1194954747#1 4212603#5 4212603#1 goeschenen_einfahrt 4212611 1316288014 1255318897 803039921 1246133442 372097229 304451629 304451625 1239461754 304451624 33527190#0 52907513#0 40653036#1 136646884 304443818 304443817 52907514 34077075#1 1255326319 34077077#1 304439899 304439901 304439900 1282201319 304439898 1282200037 304437963 304437983 304437974 304437951#0 304437951#0-AddedOffRampEdge 304437951#1 304437960 304437978 137166951 304404987 304404987-AddedOffRampEdge 298292686#0 298292686#1 1184058091 258918300 298293210 291765005 304405012 304405009 -304405005 -28830924 137166963#1 1320061334 258918254#0 258918254#3 258918254#6 976400124 -4306197#4 -647491744#1 -4306199#4 -4306200#9 495532715#0 495532715#3 -493345875#3 -26980566#0 895037056#1 -27366235#4,25.415773093656504
19,19,-136646886#4 -136646886#0 E5 E7 -184904895 -35164919#2 -1355624955#4 -1355624955#1 -1280026025 -35192918 93293334 93293343#8 335329132 335329133 -24765232 -24765230#0 -26825644 -35192917 -1194954759 -1194954760 -1311468392 -70573586 -24545864#1 goeschenen_entry -109528130#2 -109528130#1 -230703524 -629110690 -1255318895 -10046129#1,5.920465378440008
20,20,-96073655#3 -27743167#9 -48924448 244198642#1 359411402 314714553 142887422#0 233783354#0 233783354#1 495512236 265803670#0 1207509565 446397842 1204306714 184903367 939461794#0 495512239 939461796#0 939461796#1 24210993#0 446473442#1 34077096 1250499162#1 27366356#0 -495532715#2 4306201#0,4.165739236009148
39,5,-493345875#3 -34077097#4 -34077097#3 -34077097#1 -34077096 -446473442#6 -24210993#4 -939461796#1 -939461796#0 -495512239 -1157660629#1 -184903361#2 -1204306717 -446397842 -27742818#1 495512237 495512235 495512236 -1207509566 -1305315502 -1215806167 -110927098#2 1227355871#1 175771446#1 1227355865 1227355867 382397062 1227355864 175771445#0 645643600 537680525 500049926#3 500049926#4 500049926#5 537680524#0 985130595 645643597 1157181114 23725641#0 23725641#2 836109912#0 836109912#2 836109912#6 836109912#7 836109912#12 836109912#21 836109912#25 erstfeld_exit 305871543#3 305871543#4 305871543#7 305871543#8 305871543#12,8.142546484635231
39,61,-493345875#3 -34077097#4 -34077097#3 -34077097#1 -974810234#0 -1320061329#4 -1320061329#2 -446471813#3 -974810233#1 -496298784#4 -28830807#0 -1177921351 -26195249#1 -981333088#3 -981333088#2 -24356948 -24356947 -1177096612 -184917265#1 seefeld_exit -486406647#6,2.9526208340697853
53,22,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 -137261958 -4275898 137166963#3 137166963#4 137166963#1 1320061334 258918254#0 258918254#3 258918254#6 976400124 -4306197#4 -647491744#1 -4306199#4 -4306200#9 495532715#0 495532715#3 altdorf_entry 4334004#1 1057663492#0 27665110#0 27665110#2 27665110#5 496300699#0 496300699#1 345246838 184901801#0 4334011#3 4334011#1 27665034#0 1221385239#0 184902356#1 184902356#2 686911532#0 686911532#2 1221385265#0 1221385265#1 burglen_exit 686911533#10 686911533#11 686911533#12 686911533#13 686911533#14 686911533#16,11.580309376356492
53,163,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 -137261958 -4275898 137166963#3 137166963#4 137166963#1 1320061334 258918254#0 258918254#3 258918254#6 976400124 -4306197#4 -647491744#1 -4306199#4 -4306200#9 495532715#0 495532715#3 altdorf_entry 4334004#1 1057663492#0 27665110#0 27665110#2 27665110#5 496300699#0 496300699#1 345246838 184901801#0,8.392434211891857
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
53,182,axenstrasse_entry 1177966442 1177966445 -49714610#1 -171962377#1 -43197358 -4316551 -1268628417 -982048014 -982048015 E14 E15 28830924.43 304405005 25382810 1246403281 304405015 137166974 1174829581 298325431 298292296 298292142 304404972 304404981 1282200035 304404966 43167162#1-AddedOffRampEdge 184905676#1 304437965 304437948 304437971 137602290 304437957 304437980 371954044 371643232 304443811 304443816 304443813 304443810 1081642035 1194467327 304443809 304443808 304443814 304443815#0 304443815#1 371643240#0 184912169 304449280 304449282 1194474086 1194474088 683885955 34077048 34077049 371954051 304451627 33521942 304451621 371954052 1189211360 371956321 31269881#0 304451628#0 304451626 304451630 304476717 304476718#0 4214708,22.387399720134518
