travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward,observation,cost_table
30.766666666666666,147,AV,1,0,0,50,2496.2043409386315,0.1,-32.701866830643844,"0.43515384615384617,0.3902051282051282,0.35775,0.1,0.5,0.12333495093088893","0,0,0"
30.75,101,AV,0,0,0,32,1628.9397076974285,0.4,-83.80494457949321,"0.35929487179487185,0.3398333333333333,0.34394871794871795,0.4,0.32,0.0804842759157665","0,0,0"
22.083333333333332,2,AV,0,0,0,19,437.5592869272848,0.1,-4.3479377209628645,"0.5612291666666667,0.3496666666666667,0.36130434782608695,0.1,0.19,0.021619365168734063","0,0,0"
37.18333333333333,222,AV,2,0,0,57,4416.224882412617,0.5,-343.1948012052274,"0.510625,0.32701515151515154,0.3349607843137255,0.5,0.57,0.21820123867235977","0,0,0"
34.1,22,AV,0,0,0,39,632.5893922142865,0.4,-36.27394835084528,"0.6548690476190475,0.3993055555555555,0.4090833333333334,0.4,0.39,0.031255606910295004","0,0,0"
36.71666666666667,89,AV,1,0,0,57,1526.0895405694364,0.1,-24.048964361906034,"0.49895370370370373,0.32365,0.34931944444444446,0.1,0.57,0.07540255239340664","0,0,0"
35.93333333333333,84,AV,2,0,0,52,1460.106853854364,0.2,-44.812802528194574,"0.24230555555555555,0.2920877192982456,0.31125,0.2,0.52,0.07214241407266661","0,0,0"
75.53333333333333,254,AV,0,0,0,98,5654.280440205098,0.4,-712.1328666435974,"0.15486111111111112,0.24579166666666666,0.2612833333333333,0.4,0.98,0.2793723210896882","0,0,0"
43.06666666666667,190,AV,2,0,0,75,3476.696831582168,0.2,-125.86550024900451,"0.41214285714285714,0.32199999999999995,0.3610526315789474,0.2,0.75,0.1717801007282623","0,0,0"
11.8,208,AV,0,0,0,6,4061.843573313689,0.1,-20.292515462125643,"0.21774242424242427,0.305047619047619,0.28108333333333335,0.1,0.06,0.20069161389857007","0,0,0"
30.65,63,AV,2,0,0,50,1074.3823512953045,0.1,-14.811471904667119,"0.36643137254901964,0.39109722222222226,0.3315454545454546,0.1,0.5,0.05308415357061393","0,0,0"
46.583333333333336,207,AV,2,0,0,85,4021.28082322038,0.1,-79.14265771625669,"0.40184615384615385,0.32523809523809527,0.3888076923076923,0.1,0.85,0.19868744913115402","0,0,0"
8.166666666666666,133,AV,0,0,0,5,2222.040577514192,0.7,-53.24955664940054,"0.4229242424242425,0.31719791666666663,0.33284615384615385,0.7,0.05,0.1097887945708426","0,0,0"
32.9,109,AV,2,0,0,48,1782.711710770346,0.4,-98.84273943390731,"0.4053809523809524,0.3144791666666667,0.3295888888888889,0.4,0.48,0.08808199623958074","0,0,0"
