travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward
47.63333333333333,101,AV,1,0,0,79,1503.4428459110418,0.2,-4.218782355297775
41.11666666666667,255,AV,0,0,0,75,5590.116807812239,0.5,-30.84286655678618
27.433333333333334,99,AV,0,0,0,49,1485.5718097438446,0.2,-3.8800768149144513
27.783333333333335,52,AV,1,0,0,48,946.1123250925148,0.6,-4.584664581033389
46.65,299,AV,1,0,0,72,20793.30768626012,0.3,-74.08735362394201
27.85,278,AV,1,0,0,49,8029.700924090037,0.2,-11.896215512318564
17.633333333333333,199,AV,1,0,0,32,3257.3450634265246,1.0,-15.106421860274676
43.0,157,AV,1,0,0,66,2411.397471856681,0.6,-16.312533852399586
13.666666666666666,23,AV,0,0,0,32,646.5589615252754,0.4,-2.7143407021729393
31.816666666666666,40,AV,1,0,0,52,857.6590975250949,0.1,-1.2910011726159119
15.233333333333333,162,AV,1,0,0,30,2476.7673195544394,0.1,-1.554677146057558
13.583333333333334,239,AV,0,0,0,33,4577.590037133467,0.4,-8.102484695124202
29.066666666666666,106,AV,2,0,0,41,1567.0706205360798,0.3,-4.541435124412781
18.083333333333332,251,AV,1,0,0,33,5003.647877951615,0.3,-7.4566588433049255
42.833333333333336,4,AV,1,0,0,66,465.3670128771111,0.1,-1.1052781111339123
27.3,26,AV,0,0,0,52,676.2529471816457,0.4,-3.6866032931372654
21.716666666666665,229,AV,1,0,0,42,4223.122456076251,0.2,-5.233840357531443
16.333333333333332,282,AV,1,0,0,31,8475.089255911002,0.2,-7.593149204775068
10.483333333333333,39,AV,0,0,0,24,849.0657401736111,0.1,-2.046558276569529
35.083333333333336,258,AV,1,0,0,56,5721.231751015957,0.3,-15.80796552046539
11.733333333333333,167,AV,1,0,0,23,2561.5826276178027,0.4,-3.637863740880359
24.566666666666666,116,AV,1,0,0,45,1716.9764066453156,0.3,-3.7973978279232266
45.083333333333336,68,AV,1,0,0,69,1100.389953660579,0.1,-1.8546727245841188
35.21666666666667,179,AV,1,0,0,56,2818.3733061874163,0.8,-20.6531691652997
19.533333333333335,6,AV,1,0,0,39,491.0984231068265,0.5,-1.813124717325759
18.9,169,AV,1,0,0,29,2645.062412614309,0.2,-3.126746262950022
43.95,264,AV,1,0,0,66,5912.288420941998,0.5,-33.41063568984859
29.633333333333333,12,AV,1,0,0,51,571.0932451196882,0.1,-1.0292724574001706
41.1,93,AV,2,0,0,58,1434.4967426379471,0.5,-8.53488266232571
21.266666666666666,297,AV,1,0,0,38,17693.100214811147,0.6,-57.61301465216925
45.416666666666664,187,AV,1,0,0,69,2909.8477340427667,1.0,-33.974536330650416
49.78333333333333,22,AV,1,0,0,86,640.5426603936758,0.1,-1.4071752927423862
28.983333333333334,166,AV,1,0,0,51,2553.8725848963804,0.1,-2.4710993241139754
25.133333333333333,245,AV,1,0,0,45,4689.4303597647895,0.7,-21.435932006160403
32.65,0,AV,1,0,0,54,417.8295094645922,0.1,-0.9464122803035084
35.18333333333333,242,AV,2,0,0,50,4635.813442599864,0.1,-5.209485920155014
49.1,79,AV,1,0,0,87,1260.3927948639828,0.2,-3.7274334664556346
16.2,244,AV,1,0,0,32,4687.914961676448,0.2,-4.437480746826185
24.916666666666668,32,AV,1,0,0,46,806.3598325453933,0.3,-2.1240199570395997
12.883333333333333,215,AV,1,0,0,24,3742.7752140142647,0.4,-5.472562512917554
28.233333333333334,91,AV,1,0,0,49,1405.7852601227096,0.5,-5.613278081733734
39.06666666666667,102,AV,1,0,0,61,1509.578116022191,0.3,-5.069655252873757
37.266666666666666,214,AV,2,0,0,56,3628.2404526711953,0.5,-18.162990164067324
18.866666666666667,226,AV,1,0,0,37,4116.183110063293,0.2,-4.524068236592296
32.766666666666666,147,AV,0,0,0,56,2276.662146114732,0.1,-3.7055883391504896
23.966666666666665,89,AV,1,0,0,44,1348.5865378412918,0.7,-6.315243964171061
42.75,262,AV,1,0,0,64,5899.132481879994,1.0,-64.28573052574994
40.63333333333333,217,AV,1,0,0,61,3759.463069718096,0.1,-4.4594774970255555
31.466666666666665,153,AV,1,0,0,51,2337.3116255789537,0.4,-8.030944850729064
44.63333333333333,143,AV,2,0,0,67,2212.8825544422834,0.1,-3.584863573129813
30.983333333333334,63,AV,1,0,0,53,1046.6558973464134,0.1,-1.420825287090481
44.81666666666667,8,AV,1,0,0,70,541.9839687696077,0.9,-6.122349157051043
34.31666666666667,33,AV,0,0,0,56,807.7368269013535,0.3,-3.921696335997332
28.433333333333334,100,AV,2,0,0,31,1490.1599361877834,0.3,-4.300578671030756
19.5,56,AV,1,0,0,38,968.7072844723906,0.1,-1.078928910687162
46.016666666666666,19,AV,1,0,0,70,626.2908344343901,0.7,-5.696325978987145
45.3,81,AV,1,0,0,69,1261.43865123121,0.4,-6.373951424724628
49.36666666666667,73,AV,1,0,0,79,1135.438045570021,0.1,-2.017388493240068
16.883333333333333,95,AV,0,0,0,39,1457.5875839824732,0.4,-4.307535776454959
20.683333333333334,121,AV,2,0,0,28,1836.3970218708375,0.2,-3.009037785035109
19.033333333333335,256,AV,1,0,0,38,5611.673516276995,0.3,-8.693493701904455
13.283333333333333,287,AV,1,0,0,22,10751.672106064549,0.3,-11.421462783905863
19.916666666666668,193,AV,2,0,0,14,3064.640983136323,0.1,-2.6320632760134286
20.416666666666668,270,AV,0,0,0,46,6709.13861087917,0.2,-8.739877824585003
37.5,133,AV,1,0,0,60,2044.1603053436156,0.6,-12.21646114945236
27.083333333333332,275,AV,1,0,0,48,7336.658338656486,0.2,-10.637326249828947
22.716666666666665,172,AV,1,0,0,44,2744.255474143275,0.1,-2.17616489066384
19.033333333333335,206,AV,1,0,0,32,3438.9188747307694,0.3,-5.5605570849274475
18.633333333333333,97,AV,1,0,0,35,1474.5167950508735,0.1,-1.2957312061560928
35.15,3,AV,2,0,0,50,457.16351791608827,0.1,-1.496504304816932
43.916666666666664,7,AV,1,0,0,66,508.6019702527906,0.5,-3.4221290096971866
32.7,246,AV,1,0,0,54,4818.617258984985,0.1,-4.580923666283057
24.116666666666667,66,AV,0,0,0,48,1089.3140785512585,0.1,-2.4851841692860566
18.95,254,AV,0,0,0,42,5557.427333357366,0.2,-7.140635467430409
30.466666666666665,90,AV,1,0,0,51,1365.417472605012,0.5,-5.854403732563052
16.433333333333334,27,AV,1,0,0,23,720.4688823460104,0.8,-2.9937736165426476
38.166666666666664,189,AV,1,0,0,60,2965.4163440895786,0.4,-12.034242963308309
18.166666666666668,250,AV,1,0,0,34,4967.653125719208,0.3,-7.438709297164061
37.46666666666667,252,AV,1,0,0,59,5144.150368411208,0.4,-20.070011650552857
23.35,85,AV,1,0,0,44,1282.6858023855964,0.3,-2.8709074058866424
33.766666666666666,51,AV,1,0,0,55,943.1907669438916,0.2,-2.2104194261854584
34.06666666666667,42,AV,1,0,0,51,870.7377108213431,0.3,-2.8491208803520527
41.38333333333333,149,AV,0,0,0,75,2294.767722006211,0.2,-6.618003628805911
37.516666666666666,141,AV,1,0,0,58,2139.4702648744856,0.2,-4.655741877704097
24.383333333333333,160,AV,1,0,0,44,2436.431929205765,0.5,-8.102965964267748
25.283333333333335,291,AV,1,0,0,46,11515.391842589095,0.2,-15.306332668087258
40.016666666666666,113,AV,1,0,0,61,1635.9686818612918,0.3,-5.561460431147678
44.75,120,AV,1,0,0,67,1809.16611953512,0.2,-4.690812134201849
41.43333333333333,203,AV,1,0,0,62,3382.383844415393,0.2,-7.679865338128508
25.833333333333332,98,AV,1,0,0,47,1474.807688008607,1.0,-10.222923709214395
32.416666666666664,28,AV,2,0,0,49,736.5379020629116,0.2,-2.2965777811383523
49.36666666666667,257,AV,1,0,0,80,5702.891177591027,0.1,-7.711326278192181
38.61666666666667,159,AV,1,0,0,60,2421.0391237858234,0.3,-7.684676144105749
22.35,112,AV,0,0,0,47,1628.9397076974285,0.1,-2.741148258662564
21.216666666666665,237,AV,1,0,0,38,4559.760277629775,0.3,-7.930922588058969
21.35,86,AV,1,0,0,41,1293.252850487379,0.9,-6.8771294958876235
37.81666666666667,170,AV,1,0,0,59,2667.9339807116767,0.3,-8.245275326458074
36.05,49,AV,0,0,0,58,932.0432837729122,0.2,-3.5187623569703783
21.216666666666665,186,AV,1,0,0,40,2909.5116230827134,1.0,-16.190332714984404
43.8,103,AV,1,0,0,65,1527.6889462703334,1.0,-17.499079577838536
45.3,44,AV,1,0,0,70,877.2934597877683,0.8,-8.630478349572908
23.533333333333335,30,AV,1,0,0,43,777.0630287344238,0.7,-3.8344438320585206
28.883333333333333,82,AV,1,0,0,49,1265.4739572733297,0.8,-7.985975804965254
23.6,50,AV,1,0,0,44,938.3100494872764,0.6,-3.9570832278635946
46.266666666666666,138,AV,1,0,0,72,2105.159940183184,0.5,-12.899733812585266
48.1,92,AV,1,0,0,100,1434.2863071033526,0.1,-2.3440647522139204
26.766666666666666,71,AV,2,0,0,36,1117.0806745336297,0.1,-1.8457777492681018
48.03333333333333,273,AV,1,0,0,75,7099.697064525982,0.4,-35.04859231010754
27.266666666666666,41,AV,1,0,0,47,861.805442805673,1.0,-6.535894197500341
28.283333333333335,267,AV,1,0,0,49,6427.339783247283,0.2,-9.783055047685723
30.3,148,AV,1,0,0,52,2280.385817754286,0.6,-11.070957941508313
34.3,174,AV,1,0,0,54,2753.3979495063454,0.5,-12.526352049402478
36.083333333333336,115,AV,1,0,0,56,1703.2333497257905,0.2,-3.7058703591214956
35.81666666666667,80,AV,1,0,0,55,1260.6549751070208,0.2,-2.8823411834890473
45.5,241,AV,1,0,0,70,4630.913868273173,0.2,-11.243660475476231
19.7,216,AV,1,0,0,39,3758.845856207275,0.6,-11.82149931867929
25.283333333333335,140,AV,1,0,0,44,2137.1188228190404,0.7,-10.153288025452605
22.65,57,AV,1,0,0,41,969.457736312404,0.6,-3.9289166459812046
40.93333333333333,36,AV,1,0,0,63,818.0604611907775,0.2,-2.2931231289263887
39.15,290,AV,1,0,0,61,11185.875164713363,0.4,-44.83696574773011
34.38333333333333,150,AV,1,0,0,55,2302.618320259251,0.1,-2.6011991429523715
32.483333333333334,185,AV,1,0,0,53,2891.134206742707,0.2,-5.345028917021495
35.61666666666667,207,AV,2,0,0,47,3465.4556083993225,0.4,-13.558186409746385
40.06666666666667,298,AV,1,0,0,61,19040.472291926453,0.2,-39.13162388406666
39.78333333333333,191,AV,0,0,0,67,2969.8754393798326,0.4,-13.756284010841178
