travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward,observation,cost_table
27.3,134,AV,2,0,0,17,2046.5713793034688,1.0,-2.327974943957696,"2.0244166666666668,0.43540624999999994,0.41738888888888886,1.0,0.17,0.09842452245612708","0,0,0"
23.433333333333334,92,AV,2,0,0,16,1475.2077210572677,0.2,-0.2880752855286831,"2.297636363636363,0.4013508771929824,0.38833333333333336,0.2,0.16,0.07094627479744654","0,0,0"
40.61666666666667,213,AV,2,0,0,79,3863.855435177377,0.1,-0.6539038677449491,"0.5539166666666667,0.37423076923076926,0.2991666666666667,0.1,0.79,0.18582206801713178","0,0,0"
16.2,4,AV,1,0,0,10,473.5024380788758,0.8,-0.255691316562593,"0.7436212121212122,0.262,0.3107395833333333,0.8,0.1,0.022771867046038015","0,0,0"
19.7,209,AV,1,0,0,8,3724.6301341612702,0.2,-0.6114601136914751,"1.5585757575757577,0.24613541666666666,0.3131025641025641,0.2,0.08,0.17912638962306346","0,0,0"
27.416666666666668,13,AV,2,0,0,25,566.7055292848979,0.3,-0.19421470743201188,"2.1710666666666665,0.40708888888888883,0.32681111111111105,0.3,0.25,0.027254227073231246","0,0,0"
19.5,267,AV,1,0,0,18,6434.117121135291,0.3,-1.568316048276727,"1.616486111111111,0.14374358974358975,0.3254761904761904,0.3,0.18,0.3094321123996473","0,0,0"
35.46666666666667,143,AV,1,0,0,88,2198.5025098873134,0.1,-0.3248898153500141,"1.1608571428571428,0.2309888888888889,0.2598939393939394,0.1,0.88,0.10573125464497639","0,0,0"
18.266666666666666,216,AV,1,0,0,15,3942.222625638348,0.1,-0.3000469442846964,"1.872181818181818,0.19867708333333334,0.3889615384615384,0.1,0.15,0.18959093402168548","0,0,0"
23.216666666666665,71,AV,1,0,0,45,1200.7903182940884,0.2,-0.2323195713032868,"2.44215,0.3341458333333333,0.36409523809523814,0.2,0.45,0.057748884228147654","0,0,0"
24.016666666666666,70,AV,2,0,0,4,1167.011530479414,0.2,-0.23356439103067161,"0.6738888888888889,0.38562820512820517,0.3213333333333333,0.2,0.04,0.0561243813676915","0,0,0"
36.3,154,AV,1,0,0,89,2456.6540037696086,0.2,-0.7431378361403066,"1.9285555555555554,0.24254761904761898,0.32470238095238096,0.2,0.89,0.11814637867321734","0,0,0"
19.933333333333334,286,AV,1,0,0,19,10450.70686878338,0.1,-0.867989264935064,"1.7511025641025642,0.24610000000000004,0.4008333333333334,0.1,0.19,0.5025995395474784","0,0,0"
43.31666666666667,261,AV,2,0,0,89,5984.209260784091,0.3,-3.240199972662053,"0.8888181818181817,0.4155,0.30949999999999994,0.3,0.89,0.28779496514344177","0,0,0"
28.916666666666668,144,AV,1,0,0,64,2212.8825544422834,0.6,-1.5997296799822343,"2.036181818181818,0.2278846153846154,0.36456249999999996,0.6,0.64,0.1064228254509272","0,0,0"
18.533333333333335,239,AV,0,0,0,47,4704.305573257116,1.0,-13.632769303792996,"0.16134722222222223,0.34511904761904766,0.2699047619047619,1.0,0.47,0.2262413293853024","0,0,0"
22.433333333333334,94,AV,1,0,0,26,1496.328062426438,0.1,-0.13986510916847122,"0.2464393939393939,0.20219047619047617,0.3593888888888888,0.1,0.26,0.0719620026310286","0,0,0"
46.016666666666666,18,AV,2,0,0,94,610.4868582393152,0.7,-0.8193666325827254,"1.9207500000000002,0.3312916666666667,0.3099305555555556,0.7,0.94,0.029359776109248604","0,0,0"
36.93333333333333,40,AV,2,0,0,71,827.8499544782503,0.1,-0.12739690966137518,"0.8916,0.3225714285714286,0.2644895833333333,0.1,0.71,0.03981328834109833","0,0,0"
17.066666666666666,296,AV,1,0,0,15,17322.90883950548,1.0,-12.31851295253723,"1.0910151515151516,0.2675952380952381,0.3221333333333333,1.0,0.15,0.833100202280572","0,0,0"
20.95,93,AV,1,0,0,26,1490.1599361877834,0.2,-0.2601570888594505,"1.2374333333333334,0.2233205128205128,0.3350588235294118,0.2,0.26,0.07166536265764283","0,0,0"
8.55,244,AV,0,0,0,10,4889.272753955773,0.1,-10.174180341859675,"0.28848484848484846,0.4266111111111111,0.29520238095238094,0.1,0.1,0.2351368443985718","0,0,0"
37.95,2,AV,2,0,0,23,437.8567856598078,1.0,-0.6923610423245712,"1.8800000000000003,0.45434374999999994,0.44512499999999994,1.0,0.23,0.021057582192617507","0,0,0"
24.75,225,AV,1,0,0,50,4381.240268036911,0.7,-3.162707818489145,"2.3719166666666665,0.3962638888888889,0.43953703703703695,0.7,0.5,0.2107043445969861","0,0,0"
33.93333333333333,107,AV,0,0,0,95,1659.6531244520008,0.2,-10.469313022414482,"0.21538888888888888,0.3220092592592593,0.4539333333333333,0.2,0.95,0.07981669628967558","0,0,0"
20.566666666666666,89,AV,1,0,0,20,1467.6871321740252,0.3,-0.377317900229739,"0.6665694444444444,0.22298809523809524,0.3534166666666666,0.3,0.2,0.07058459165416232","0,0,0"
29.383333333333333,74,AV,1,0,0,69,1249.5878531833848,0.2,-0.3059754701614316,"0.5920000000000001,0.307452380952381,0.3705777777777778,0.2,0.69,0.06009567462944302","0,0,0"
23.4,86,AV,1,0,0,45,1454.957177165027,0.1,-0.14185832477359012,"0.9313484848484849,0.1895888888888889,0.31088095238095237,0.1,0.45,0.06997237760909195","0,0,0"
30.133333333333333,204,AV,1,0,0,59,3531.3895067900216,0.2,-0.8867711428161611,"1.7626999999999997,0.26837179487179486,0.37543137254901965,0.2,0.59,0.16983298473111647","0,0,0"
10.233333333333333,191,AV,1,0,0,0,3245.380745418587,0.1,-0.13837942900604255,"1.713513888888889,0.2755444444444445,0.3863205128205129,0.1,0.0,0.156078137946426","0,0,0"
23.9,59,AV,1,0,0,46,1014.5614647146556,0.4,-0.40413365011133784,"0.6596969696969698,0.29427380952380955,0.42046666666666666,0.4,0.46,0.04879269234230884","0,0,0"
29.2,167,AV,2,0,0,25,2753.3979495063454,0.1,-0.334996750523272,"0.7250303030303031,0.38896428571428565,0.30595555555555554,0.1,0.25,0.13241750620204337","0,0,0"
47.416666666666664,128,AV,2,0,0,97,2010.868248891871,0.1,-0.39728612278453973,"1.4738787878787878,0.36378571428571427,0.35419999999999996,0.1,0.97,0.0967074733482937","0,0,0"
23.233333333333334,121,AV,1,0,0,37,1888.2149669861096,0.3,-0.548369096662216,"1.3807777777777779,0.19464285714285715,0.2733095238095238,0.3,0.37,0.09080878306984375","0,0,0"
8.5,158,AV,0,0,0,8,2533.2754137277425,0.2,-10.179440341805716,"0.1311166666666667,0.21804761904761905,0.3756458333333333,0.2,0.08,0.12183128590944142","0,0,0"
20.2,256,AV,1,0,0,23,5807.233742044462,0.1,-0.4887755066220756,"1.7415909090909087,0.29925,0.45141666666666663,0.1,0.23,0.27928378830664774","0,0,0"
39.333333333333336,108,AV,2,0,0,63,1664.0464513081895,0.1,-0.2727187239643977,"1.3800757575757578,0.30191025641025643,0.2742708333333333,0.1,0.63,0.08002798190726358","0,0,0"
21.116666666666667,165,AV,1,0,0,28,2648.588416164911,0.1,-0.2330389946722877,"1.3104166666666666,0.2850222222222222,0.43154545454545457,0.1,0.28,0.1273769645564883","0,0,0"
33.05,179,AV,1,0,0,82,2964.6777926145683,0.3,-1.2247825130738934,"0.4192272727272727,0.28984313725490196,0.38830555555555557,0.3,0.82,0.14257846021167567","0,0,0"
15.566666666666666,230,AV,1,0,0,6,4559.760277629775,0.1,-0.2957511180073757,"0.2741944444444444,0.18511111111111112,0.25048717948717947,0.1,0.06,0.21928979970044837","0,0,0"
11.816666666666666,153,AV,1,0,0,2,2436.431929205765,0.2,-0.2399208663620677,"0.5374,0.22904166666666662,0.2742023809523809,0.2,0.02,0.11717385064309511","0,0,0"
26.533333333333335,193,AV,1,0,0,54,3257.3450634265246,0.6,-2.1607055587395947,"0.3991818181818182,0.2366025641025641,0.40556250000000005,0.6,0.54,0.15665353067318508","0,0,0"
24.166666666666668,9,AV,1,0,0,44,513.3463032142733,0.4,-0.20676448323908234,"1.6090333333333333,0.14419230769230768,0.29102941176470587,0.4,0.44,0.024688054010448962","0,0,0"
29.9,102,AV,1,0,0,66,1581.438059619256,0.1,-0.19702082492756565,"0.588388888888889,0.22926666666666665,0.25775641025641016,0.1,0.66,0.07605514637116847","0,0,0"
17.5,41,AV,1,0,0,4,845.7864251007381,0.1,-0.061671926830262146,"1.9724722222222224,0.15538461538461537,0.3763777777777777,0.1,0.04,0.040675896199988425","0,0,0"
17.466666666666665,116,AV,1,0,0,13,1832.3133019091129,0.5,-0.6667584515280381,"1.9161025641025637,0.3538111111111111,0.4461944444444444,0.5,0.13,0.08812033802202023","0,0,0"
26.783333333333335,258,AV,1,0,0,49,5825.994272151124,0.3,-1.9504943323639288,"1.711654761904762,0.2273854166666667,0.3199166666666667,0.3,0.49,0.28018602716107777","0,0,0"
23.283333333333335,269,AV,1,0,0,39,6918.069898529506,0.6,-4.026893186769049,"0.5707121212121212,0.23160256410256413,0.40063541666666663,0.6,0.39,0.33270656130870674","0,0,0"
47.21666666666667,82,AV,2,0,0,92,1342.087988935639,0.6,-1.584223030272777,"0.7228333333333332,0.2955833333333333,0.2909615384615385,0.6,0.92,0.06454422784415724","0,0,0"
33.0,81,AV,1,0,0,82,1317.647826688136,0.2,-0.3623531523392374,"1.0699848484848484,0.2415595238095238,0.4402777777777779,0.2,0.82,0.06336884186823323","0,0,0"
17.9,237,AV,1,0,0,15,4660.29795945294,0.4,-1.390322224570127,"1.7143636363636368,0.16784615384615387,0.3944895833333334,0.4,0.15,0.2241248977685445","0,0,0"
23.416666666666668,263,AV,1,0,0,30,6020.57275324985,0.1,-0.5874239387719472,"2.2616666666666667,0.13787878787878788,0.34227380952380954,0.1,0.3,0.2895437726450875","0,0,0"
