travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward,observation,cost_table
15.65,102,AV,0,0,0,20,1783.933402668827,0.1,-3.2050140846405846,"0.16186231884057972,0.27391379310344827,0.3358674242424242,0.1,0.2,0.08814235881001646","0,0,0"
35.516666666666666,156,AV,1,0,0,78,2753.3979495063454,0.2,-4.938965513803049,"0.22136363636363637,0.2582478991596639,0.3234078947368421,0.2,0.78,0.13604262897318792","0,0,0"
27.083333333333332,212,AV,2,0,0,12,4113.319853961603,0.2,-5.626384480376773,"0.23312280701754381,0.24940400000000004,0.33452536231884056,0.2,0.12,0.20323500525627752","0,0,0"
16.166666666666668,251,AV,1,0,0,13,5654.280440205098,0.1,-2.3083552302184116,"0.25871052631578945,0.2866144927536232,0.3606555555555555,0.1,0.13,0.2793723210896882","0,0,0"
15.566666666666666,49,AV,1,0,0,13,1068.5648373754009,0.3,-1.260150957207859,"0.2682266666666667,0.29823846153846156,0.3652857142857143,0.3,0.13,0.052796716047137274","0,0,0"
18.9,27,AV,1,0,0,21,832.3173438658397,0.1,-0.39724236866324164,"0.22625833333333337,0.26062403100775194,0.32416666666666666,0.1,0.21,0.04112396452528438","0,0,0"
36.88333333333333,99,AV,2,0,0,63,1718.6657268339234,0.1,-1.600760628570485,"0.20998000000000006,0.260674358974359,0.352547619047619,0.1,0.63,0.0849175484591763","0,0,0"
24.133333333333333,7,AV,1,0,0,37,610.4868582393152,0.1,-0.3720475466037578,"0.19505555555555557,0.2705383693045563,0.34751666666666664,0.1,0.37,0.03016354289191967","0,0,0"
20.233333333333334,110,AV,1,0,0,27,1880.1756700095973,0.1,-0.9606621478921091,"0.22279999999999994,0.275246719160105,0.3534494949494949,0.1,0.27,0.09289759263654204","0,0,0"
30.233333333333334,286,AV,1,0,0,56,8987.033628468456,0.4,-27.445250845188184,"0.2514545454545455,0.29090079365079363,0.3651458333333333,0.4,0.56,0.4440403108844108","0,0,0"
27.533333333333335,76,AV,1,0,0,43,1411.5824788559885,0.1,-0.9814538110564366,"0.267625,0.28981630170316297,0.375994623655914,0.1,0.43,0.06974487341013964","0,0,0"
23.633333333333333,165,AV,2,0,0,7,2872.269398564857,0.3,-5.142522736319402,"0.22295833333333334,0.2708346253229974,0.34309047619047617,0.3,0.07,0.1419159479544386","0,0,0"
