travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward
54.43333333333333,147,AV,1,3,5,1,14,0,0,71,1141.0395517097602,0.1,-5.443333333333333
51.96666666666667,101,AV,1,3,5,1,0,0,0,65,2139.4702648744856,0.1,-5.196666666666667
21.316666666666666,2,AV,1,3,5,0,0,0,0,36,2767.495209174315,0.3,-6.395
45.55,222,AV,1,3,5,1,0,0,0,57,3849.958431883558,0.1,-4.555
23.666666666666668,22,AV,1,3,5,1,0,0,0,37,2486.38103050259,0.4,-9.466666666666667
47.85,89,AV,1,1,5,7,18,0,0,59,3803.247088152212,0.1,-4.785
20.383333333333333,84,AV,1,3,5,1,0,0,0,33,2421.0391237858234,0.1,-2.0383333333333336
12.116666666666667,254,AV,1,2,5,4,0,0,0,16,4843.3187157075145,0.3,-3.635
45.11666666666667,190,AV,1,3,5,0,0,0,0,55,541.9839687696077,0.6,-27.07
33.6,208,AV,1,3,5,0,0,0,0,46,4754.245589533712,0.2,-6.720000000000001
51.083333333333336,63,AV,1,3,5,1,0,0,0,61,2756.9260540590044,0.2,-10.216666666666669
47.5,207,AV,1,2,5,4,0,0,0,58,1011.0784796502788,0.2,-9.5
20.833333333333332,133,AV,1,4,5,2,0,0,0,33,2969.8754393798326,0.1,-2.0833333333333335
39.85,109,AV,1,3,5,0,0,0,0,50,595.9176043698985,0.1,-3.9850000000000003
23.966666666666665,41,AV,1,3,5,1,0,0,0,37,1848.7234685638712,0.1,-2.3966666666666665
24.4,266,AV,1,3,5,0,0,0,0,37,1527.6889462703334,0.1,-2.44
48.03333333333333,29,AV,1,1,5,7,18,0,0,60,4416.224882412617,0.2,-9.606666666666667
35.083333333333336,298,AV,1,1,5,7,17,0,0,47,1234.5997004771,0.1,-3.5083333333333337
43.4,141,AV,1,3,5,1,0,0,0,53,2496.2043409386315,0.2,-8.68
27.616666666666667,268,AV,1,3,5,0,0,0,0,39,6007.794801579103,0.3,-8.285
41.833333333333336,46,AV,1,1,5,1,0,0,0,53,566.7055292848979,0.1,-4.183333333333334
35.5,49,AV,1,3,5,1,0,0,0,47,1074.3823512953045,0.5,-17.75
50.78333333333333,137,AV,1,2,6,0,3,0,0,62,2818.3733061874163,0.1,-5.078333333333333
57.56666666666667,98,AV,1,3,5,1,0,0,0,78,9095.945853089892,0.1,-5.756666666666668
28.133333333333333,95,AV,1,3,5,0,0,0,0,42,4924.983441788647,0.2,-5.626666666666667
54.93333333333333,251,AV,1,3,5,1,0,0,0,72,825.4433072334436,0.1,-5.493333333333333
56.15,228,AV,1,3,5,1,16,0,0,76,1279.3396024785957,0.1,-5.615
18.15,110,AV,1,1,5,7,18,0,0,30,11185.875164713363,0.1,-1.815
14.716666666666667,239,AV,1,3,5,0,0,0,0,22,3458.1247672483346,0.3,-4.415
13.466666666666667,131,AV,1,4,5,2,0,0,0,19,4376.119511966378,0.2,-2.6933333333333334
38.53333333333333,247,AV,1,2,5,4,0,0,0,49,4687.914961676448,0.1,-3.8533333333333335
54.7,235,AV,1,3,5,1,0,0,0,69,6709.13861087917,0.5,-27.35
56.35,111,AV,1,1,5,7,19,0,0,84,449.0833195935783,0.2,-11.270000000000001
18.383333333333333,135,AV,1,4,5,2,0,0,0,29,2105.159940183184,0.4,-7.3533333333333335
33.85,206,AV,1,3,5,1,0,0,0,46,4950.268578812107,0.1,-3.3850000000000002
25.55,280,AV,1,3,5,0,0,0,0,39,1684.196745492046,0.3,-7.665
