travel_time,id,kind,action,origin,destination,start_time,income,urgency,reward
23.216666666666665,43,AV,2,0,0,24,968.7072844723906,0.1,-1.658647144877963
39.516666666666666,278,AV,1,0,0,68,8436.938288223368,0.1,-9.021097748458587
39.56666666666667,86,AV,1,0,0,65,1592.2311391495805,0.1,-2.1928048372479396
22.216666666666665,168,AV,1,0,0,40,2964.6777926145683,0.2,-3.9284421565953025
42.35,89,AV,2,0,0,58,1653.1781197118603,0.2,-4.626678271605924
25.05,22,AV,1,0,0,46,753.5670156580491,0.2,-1.5552904116279864
40.81666666666667,123,AV,2,0,0,57,2193.4249838744518,0.2,-5.61234509258294
40.516666666666666,247,AV,1,0,0,70,5354.15698790508,0.2,-11.5581055741391
16.4,255,AV,1,0,0,32,5807.233742044462,0.2,-5.41194594836006
22.983333333333334,73,AV,1,0,0,41,1446.9812594843625,0.2,-2.2815327788795754
16.966666666666665,84,AV,1,0,0,30,1581.438059619256,0.2,-1.9570519605828305
22.85,47,AV,1,0,0,42,1025.7249596144625,0.5,-3.561234077069504
41.63333333333333,244,AV,2,0,0,66,5051.78348307234,0.3,-17.024243178074123
39.483333333333334,297,AV,1,0,0,67,17693.100214811147,0.4,-71.16581027125861
33.63333333333333,125,AV,1,0,0,57,2239.257430619588,0.5,-10.111218452824765
36.96666666666667,80,AV,1,0,0,64,1526.0895405694364,0.9,-13.423378357662918
37.81666666666667,267,AV,1,0,0,64,7081.334819999852,0.3,-20.889222932954123
6.833333333333333,78,AV,0,0,0,22,1496.328062426438,0.1,-2.5799893182469864
31.783333333333335,151,AV,1,0,0,53,2744.8905386527767,0.1,-2.804988984078639
33.31666666666667,282,AV,2,0,0,48,9030.678864893336,0.2,-16.2862754506749
33.68333333333333,137,AV,1,0,0,57,2446.4664131825853,0.3,-6.844727875457076
19.716666666666665,288,AV,1,0,0,37,11515.391842589095,0.6,-35.00269312611842
22.933333333333334,145,AV,1,0,0,43,2563.744074524839,0.1,-2.086641168142331
29.916666666666668,140,AV,1,0,0,52,2478.182963693478,0.6,-11.835091787853013
27.216666666666665,41,AV,2,0,0,41,938.3100494872764,0.6,-4.9600581792240455
41.733333333333334,218,AV,1,0,0,67,4164.701887555128,0.1,-4.990976892002543
26.2,93,AV,1,0,0,47,1682.490559712908,0.7,-8.394054582508769
30.233333333333334,156,AV,1,0,0,50,2797.307504072895,0.3,-7.0088783695811
26.983333333333334,15,AV,1,0,0,47,639.9143284368583,0.5,-2.782093458609583
23.933333333333334,239,AV,0,0,0,63,4924.983441788647,0.1,-5.298331791653408
22.833333333333332,23,AV,1,0,0,41,753.7709081553346,0.4,-2.3404091522101154
18.983333333333334,256,AV,1,0,0,36,5849.7981009167725,0.2,-6.210432509616333
29.566666666666666,298,AV,1,0,0,51,19040.472291926453,0.1,-14.81815884462859
20.166666666666668,70,AV,0,0,0,53,1391.0507319816634,0.6,-6.572217352166194
41.083333333333336,116,AV,2,0,0,56,2078.9202215407213,0.2,-5.404298426412355
13.616666666666667,249,AV,1,0,0,25,5480.041794665195,0.4,-8.139277842561388
39.35,107,AV,1,0,0,67,1945.516475481125,0.1,-2.5351481344995523
33.5,34,AV,1,0,0,55,877.2934597877683,0.4,-3.570533243120226
