id,income,episodes_used,records_used,avg_travel_time,free_flow_time,avg_delay,chosen_route_index,chosen_route_path
0,8213.476830708638,1010,1010,7.786765676567657,2.312852706960921,5.473912969606735,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
1,4142.092896692985,1010,1010,7.2851155115511546,2.3132125190204373,4.971902992530717,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
2,197.20755896428443,1010,1010,8.98970297029703,2.317329620260745,6.672373350036284,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
3,243.4729392080227,1010,1010,9.335016501650163,2.314715434692754,7.02030106695741,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
4,831.0610558222916,1010,1010,7.830280528052805,2.321032119025687,5.509248409027118,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
5,150.75814936612252,1010,1010,7.636485148514851,2.3224165768478993,5.314068571666952,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
6,1155.9184127803474,1010,1010,8.298465346534654,2.313572331079953,5.984893015454701,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
7,159.55488147859677,1010,1010,8.61141914191419,2.320517576889738,6.290901565024454,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
8,1116.1541548808557,1010,1010,7.511039603960397,2.3137226226471843,5.197316981313211,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
9,239.0179087759181,1010,1010,8.723267326732673,2.331129049238136,6.392138277494538,1,E0 E2 E18 E18.118 E19 E17 E17.200 E17.400 E17.600
