episode,avg_delay
1,18.35248366919125
2,18.238354591164658
3,18.400462722514153
4,18.274837776686237
5,18.415390352480173
6,18.252197865790897
7,18.29755778238011
8,18.248912234905994
9,18.306476997519766
10,18.27452726152745
11,18.184567701586573
12,18.04081906862392
13,18.219772892642037
14,18.472047863173646
15,18.38809082061914
16,18.35199659024578
17,18.15188043327371
18,18.26126068373576
19,18.487894245904073
20,18.21266973398204
21,18.352727428808397
22,18.20583890703685
23,18.163207957512814
24,18.22636972874753
25,18.292648291845023
26,18.07139033039373
27,18.088742393875815
28,18.216556846631388
29,18.506936752062536
30,18.40117170073739
31,18.306537180733912
32,18.10678803022491
33,18.328918807233496
34,18.07107178961237
35,18.185285200892302
36,18.23515538171888
37,18.096978472901284
38,18.40836549029273
39,18.411075532607256
40,18.085235304001962
41,18.34823436825324
42,18.027612552615953
43,18.146293861405578
44,18.278196735440282
45,18.332664020145714
46,18.36849230761809
47,18.271655209203423
48,18.292563129099086
49,18.316630959820245
50,18.313494329544547
51,18.337684944736374
52,18.053475816084127
53,18.366179135642145
54,18.323104332391484
55,18.262182577779015
56,18.308070358403732
57,18.0996213414718
58,18.30553087617977
59,18.2437968411672
60,18.285861725211397
61,18.306560149337468
62,18.15345565472674
63,18.132542204508425
64,18.31309221874311
65,18.326568637335296
66,18.11182812525313
67,18.19151684686107
68,18.310488392107747
69,18.182504443352904
70,18.152872535993698
71,18.24735131054502
72,18.343541731134955
73,18.240245223208426
74,18.04705999890846
75,18.398484109480062
76,18.23842115210441
77,18.13184863164142
78,18.220942142954396
79,18.444061870405903
80,18.22193864564642
81,18.229905908265412
82,18.359007617716415
83,18.28224050029193
84,18.347094952817816
85,18.296664955894435
86,18.07238284440395
87,18.14294775744673
88,18.249871104785065
89,18.24874332962454
90,18.06938117442054
91,18.33818981808188
92,18.101933159496653
93,18.229537943967184
94,18.234155187116986
95,18.146852418809193
96,18.176705891413476
97,18.280564571395942
98,18.175349739905595
99,18.27152334601711
100,18.351310675884005
