id,income,percentile
31,1722.8772063303056,80.33333333333333
197,2497.032767507091,87.0
56,3342.4645675180427,89.33333333333333
212,3495.7009103258133,90.0
176,3513.7273179884605,90.33333333333333
154,3839.265238466288,90.66666666666666
169,3870.517680646302,91.0
171,4238.798478728168,92.0
299,4247.155666038457,92.33333333333333
281,4342.703629303418,92.66666666666666
138,4444.7577609881455,93.0
124,4571.829841275072,93.66666666666667
3,5031.906310169041,94.33333333333334
11,5418.173617588036,94.66666666666667
60,5573.388120572773,95.0
264,5784.369429856904,95.66666666666667
273,6424.431240070765,96.33333333333334
44,6548.308069009755,96.66666666666667
115,6720.448741009474,97.0
32,6889.440575807377,97.33333333333334
216,7023.139561346669,97.66666666666667
189,8213.476830708638,98.33333333333333
223,8339.102086219797,98.66666666666667
217,10811.962905776472,99.0
39,12228.630986459028,99.33333333333333
235,14168.539128501588,99.66666666666667
246,15616.341960789872,100.0
