travel_time,id,kind,action,bid_route_0,bid_route_1,bid_route_2,karma_balance,origin,destination,start_time,income,urgency,reward,observation,cost_table
42.88333333333333,147,AV,2,4,2,3,9,0,0,91,1141.0395517097602,0.3,-0.3,"1.5460512820512822,0.36108333333333337,0.4562777777777777,0.3,0.91,0.056377618936200136,9.0","0,0,0"
36.56666666666667,101,AV,1,2,4,5,3,0,0,94,2139.4702648744856,1.0,-1.0,"0.7108809523809524,0.2915,0.36416666666666664,1.0,0.94,0.10570907830292801,7.0","0,0,0"
108.41666666666667,2,AV,0,7,8,4,7,0,0,72,2767.495209174315,0.1,0.0,"0.8339848484848484,0.21866666666666668,0.3412916666666666,0.1,0.72,0.1367391604233156,14.0","0,0,0"
83.86666666666666,222,AV,0,7,3,4,2,0,0,59,3849.958431883558,0.6,0.0,"1.0311153846153844,0.23,0.3528666666666668,0.6,0.59,0.19022258173935064,9.0","0,0,0"
10.25,22,AV,1,4,5,5,6,0,0,1,2486.38103050259,0.1,-0.1,"1.0941969696969696,0.2540833333333333,0.3267333333333333,0.1,0.01,0.12284959102235175,11.0","0,0,0"
31.816666666666666,89,AV,2,2,4,5,3,0,0,47,3803.247088152212,0.1,-0.1,"0.658439393939394,0.22186111111111115,0.35105555555555557,0.1,0.47,0.18791462113190488,8.0","0,0,0"
78.71666666666667,84,AV,0,9,8,2,1,0,0,53,2421.0391237858234,0.1,0.0,"0.8011499999999999,0.20266666666666666,0.2797666666666667,0.1,0.53,0.1196211129981477,10.0","0,0,0"
73.4,254,AV,0,5,6,7,7,0,0,51,4843.3187157075145,0.3,0.0,"0.33703333333333335,0.18888888888888888,0.27276666666666666,0.3,0.51,0.23930351628177382,12.0","0,0,0"
110.15,190,AV,0,9,7,9,0,0,0,73,541.9839687696077,1.0,0.0,"0.8436060606060606,0.20211111111111113,0.37425,1.0,0.73,0.02677888388271631,9.0","0,0,0"
36.583333333333336,208,AV,1,2,8,0,0,0,0,97,4754.245589533712,0.9,-0.9,"0.4179848484848485,0.193,0.30583333333333335,0.9,0.97,0.234902502524312,8.0","0,0,0"
17.833333333333332,63,AV,1,1,6,2,2,0,0,21,2756.9260540590044,0.1,-0.1,"1.1639880952380954,0.3265833333333334,0.0,0.1,0.21,0.1362169490778143,8.0","0,0,0"
73.38333333333334,207,AV,0,9,9,4,3,0,0,50,1011.0784796502788,0.7,0.0,"1.2255454545454545,0.29875,0.40970000000000006,0.7,0.5,0.04995637281363524,12.0","0,0,0"
39.75,133,AV,2,0,2,2,9,0,0,67,2969.8754393798326,0.1,-0.1,"0.6065,0.17570833333333333,0.2847777777777778,0.1,0.67,0.1467385644594426,9.0","0,0,0"
14.0,109,AV,1,1,7,8,6,0,0,5,595.9176043698985,0.2,-0.2,"1.068,0.2999285714285714,0.39466666666666667,0.2,0.05,0.029443690682060725,13.0","0,0,0"
62.95,41,AV,0,8,2,9,3,0,0,39,1848.7234685638712,0.7,0.0,"0.3846515151515152,0.1728333333333333,0.2887222222222222,0.7,0.39,0.09134357093312716,11.0","0,0,0"
19.3,266,AV,1,0,5,7,4,0,0,31,1527.6889462703334,0.4,-0.4,"0.6064861111111112,0.18683333333333332,0.2931666666666667,0.4,0.31,0.07548157742369105,9.0","0,0,0"
13.966666666666667,29,AV,1,2,7,5,11,0,0,5,4416.224882412617,0.2,-0.2,"0.9282666666666667,0.2797333333333334,0.35766666666666663,0.2,0.05,0.21820123867235977,18.0","0,0,0"
50.8,298,AV,0,7,0,7,2,0,0,29,1234.5997004771,1.0,0.0,"1.2501875,0.27025000000000005,0.4018333333333334,1.0,0.29,0.06100033197617807,9.0","0,0,0"
75.21666666666667,141,AV,0,5,1,5,1,0,0,52,2496.2043409386315,0.8,0.0,"1.0296805555555557,0.2932857142857143,0.42833333333333334,0.8,0.52,0.12333495093088893,6.0","0,0,0"
96.25,268,AV,0,7,6,1,0,0,0,65,6007.794801579103,0.1,0.0,"0.9127564102564104,0.2765416666666667,0.4630555555555555,0.1,0.65,0.29683911084658465,7.0","0,0,0"
115.3,46,AV,0,7,4,3,10,0,0,77,566.7055292848979,1.0,0.0,"1.1443484848484848,0.2968095238095238,0.42225,1.0,0.77,0.02800035137361163,17.0","0,0,0"
21.416666666666668,49,AV,2,2,0,8,3,0,0,2,1074.3823512953045,0.8,-0.8,"0.32205,0.2009166666666667,0.331,0.8,0.02,0.05308415357061393,11.0","0,0,0"
28.483333333333334,137,AV,1,2,7,0,1,0,0,71,2818.3733061874163,0.3,-0.3,"0.7438636363636364,0.26876666666666665,0.3825416666666666,0.3,0.71,0.13925299612805134,8.0","0,0,0"
28.3,98,AV,0,9,5,1,7,0,0,14,9095.945853089892,0.6,0.0,"0.6427916666666669,0.3195333333333334,0.3955555555555555,0.6,0.14,0.44942155458275634,16.0","0,0,0"
87.55,95,AV,0,6,9,7,3,0,0,60,4924.983441788647,0.4,0.0,"0.8742000000000002,0.2447777777777778,0.3084166666666667,0.4,0.6,0.24333848842680805,9.0","0,0,0"
30.166666666666668,251,AV,2,0,2,8,2,0,0,26,825.4433072334436,0.6,-0.6,"1.3508888888888888,0.3363333333333333,0.4112333333333333,0.6,0.26,0.040784325275063815,10.0","0,0,0"
94.23333333333333,228,AV,0,7,3,7,2,0,0,64,1279.3396024785957,0.1,0.0,"1.2415897435897434,0.3164166666666667,0.42244444444444446,0.1,0.64,0.06321088562657848,9.0","0,0,0"
43.78333333333333,110,AV,0,6,2,6,1,0,0,26,11185.875164713363,0.2,0.0,"0.6979242424242424,0.22206666666666666,0.25858333333333333,0.2,0.26,0.5526828641120808,7.0","0,0,0"
68.13333333333334,239,AV,0,6,5,3,3,0,0,42,3458.1247672483346,0.4,0.0,"0.48652564102564105,0.1708333333333333,0.25656666666666667,0.4,0.42,0.17086247367116114,9.0","0,0,0"
111.8,131,AV,0,8,6,9,6,0,0,73,4376.119511966378,0.7,0.0,"0.6400833333333334,0.21580000000000002,0.2104444444444445,0.7,0.73,0.2162196725742125,14.0","0,0,0"
31.1,247,AV,2,3,2,3,8,0,0,46,4687.914961676448,0.4,-0.4,"1.0969027777777778,0.30825,0.4127916666666666,0.4,0.46,0.23162517278098077,8.0","0,0,0"
22.183333333333334,235,AV,1,3,5,6,3,0,0,41,6709.13861087917,0.2,-0.2,"1.2049102564102565,0.3206666666666667,0.42458333333333337,0.2,0.41,0.3314918044931234,8.0","0,0,0"
